name,m,area
Anaheim,346824,130.206498
Costa Mesa,111918,40.937896
Cypress,50151,17.128118
Fullerton,143617,58.065841
Garden Grove,171949,46.520862
Laguna Niguel,64355,38.165702
Orange,139911,66.478667
Placentia,51824,17.124978
San Juan Capistrano,35196,37.374655
Santa Ana,310227,70.905149
Westminster,90911,25.999277
Yorba Linda,68336,51.679911
Ripon,16013,13.790583
Stockton,320804,161.592699
Apple Valley,75791,199.444691
San Bernardino,222101,160.943574
Hesperia,99818,188.241904
Santa Paula,30657,14.323012
Redding,93611,154.48229
Shasta Lake,10371,28.290264
Victorville,134810,190.908178
Chino Hills,78411,115.642342
Highland,56999,48.099958
Chino,91403,76.677037
Bakersfield,403455,388.008665
Blythe,18317,68.849468
Indio,89137,86.018608
Arvin,19495,12.482061
Ridgecrest,27959,54.029088
Brentwood,64292,38.501266
Redwood City,84292,50.080819
San Rafael,61271,42.960192
Carmel-by-the-Sea,3220,2.748715
Del Rey Oaks,1592,2.730932
Gonzales,8647,4.955568
Davis,66850,25.826324
West Sacramento,53915,55.606617
Woodland,61032,39.665023
Fairfield,119881,107.719392
Vacaville,102386,77.363273
Ukiah,16607,12.390978
Coronado,20192,20.215844
Escondido,151038,96.723121
Imperial Beach,26137,11.11252
Delano,51428,38.114812
Marina,22359,23.070824
Sand City,325,1.416996
Seaside,32366,23.111409
Soledad,24925,11.551909
Anderson,11323,18.21082
Yreka,7807,25.861889
Oakland,440646,144.861285
Carson,95558,48.512253
Lemon Grove,27627,10.045731
Chula Vista,275487,128.560729
San Diego,1386932,844.031898
Shafter,19953,100.221604
Wasco,27047,24.313382
Sausalito,7269,4.568773
Orinda,19514,33.285592
Pinole,19022,13.218372
Richmond,116448,77.840004
San Pablo,32127,6.797163
Lafayette,25391,38.912815
Loma Linda,24791,22.528575
Montclair,37865,14.325101
Bradbury,921,5.084447
Ontario,175265,129.425158
Healdsburg,11340,11.448706
Windsor,26344,19.260063
Fort Bragg,6983,7.508182
Bishop,3819,4.827233
El Cajon,106215,37.579662
Encinitas,62007,49.353552
La Mesa,61121,23.546769
Oceanside,174068,106.88969
Poway,48841,101.210495
San Marcos,94833,63.62222
Alameda,78280,27.061952
Albany,20271,4.636032
Berkeley,124321,27.018309
Dublin,72589,39.442774
Emeryville,12905,3.29758
Vista,98381,48.556164
Newark,47529,36.051024
San Leandro,91008,34.505967
Union City,70143,50.240704
Fremont,230504,202.274678
Napa,79246,46.740284
St. Helena,5430,12.83297
King City,13332,9.833874
Woodlake,7419,6.989988
San Fernando,23946,6.149607
Cloverdale,8996,8.120471
Cotati,7584,4.854614
San Buenaventura (Ventura),110763,56.681176
Glendora,52558,50.531742
Hawthorne,88083,15.766235
Inglewood,107762,23.484484
La Cañada Flintridge,20573,22.349007
La Mirada,48008,20.257551
Palmdale,169450,274.705334
Palos Verdes Estates,13347,12.369151
Santa Clarita,228673,183.25029
Santa Fe Springs,19219,22.948086
Walnut,28430,23.281857
Sierra Madre,11268,7.643251
South Pasadena,26943,8.828904
Calabasas,23241,35.502601
Rolling Hills Estates,8280,9.263827
Benicia,27131,33.1854
Dixon,18988,18.389794
Lynwood,67265,12.537268
Suisun City,29518,10.373861
Moorpark,36284,31.796168
