name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Monterey Park,Moreno Valley,345.0,86.63812250770911,15536088.0,19.87066,132.938278,61096,208634,65,0.006957343775360352,21,0.06924373465799205,0,304.0982450576308,0,24,18,4,580,0.8064329085478886,77,0.5381846570768541,105,0.12489446429977238,109,0.7812166211535249,79,0.021143716227386908,12,0.3145843400113102,12,1137.2819102408644,0,193,13,11,178,1.5553278645554047,195,3.1789277027859284,80,0.2579239025499857,249,69.11749485457311,42992066.0
Woodland,Merced,109.0,188.36132704747388,11163808.0,39.665023,60.228129,61032,86333,50,0.005064034818002733,10,0.09350309666306375,16,582.3496612073801,1,202,10,13,176,0.8418274563502963,42,0.8822238665416182,210,0.5270656225889809,286,1.1043289806673258,49,0.016940454011673073,87,0.24918605578609218,31,654.7367733849834,0,92,0,23,340,0.3574256608289311,208,2.300931361205332,88,1.889094932264677,180,1.0696560221850364,20950050.0
Pasadena,Paramount,468.0,29.221499741521317,2671393.0,59.471291,12.24201,138699,53733,362,0.06584584685902882,92,0.29079972723867464,17,920.3587655226455,3,54,29,7,1524,3.2696887417154947,252,2.1469123111893054,683,1.2876513516860513,719,236.35526057664003,14,0.0016154808502433855,15,0.022324808682451243,1,242.27281503401392,4,2,3,0,458,0.5256464126471448,36,0.6612224921330212,112,0.06153412216510778,39,0.54022591112477,8262895.0
Industry,Moreno Valley,142.0,68.70385256786939,14784823.0,30.508618,132.938278,264,208634,46,0.018626130415882354,2,0.007975355224333154,13,583.4152916378976,1,5,9,8,302,2.050030480889851,36,0.28017415322220424,111,0.43030991643542954,64,2.523765705711034,79,0.021143716227386908,12,0.3145843400113102,12,1137.2819102408644,0,193,13,11,178,1.5553278645554047,195,3.1789277027859284,80,0.2579239025499857,249,69.11749485457311,42255805.0
El Dorado Hills,North Highlands,363.0,28.16951653623491,794376.0,125.511003,22.821705,50547,49327,18,0.0042128410011189315,5,0.0012382141697420334,2,928.5806288662417,0,56,3,3,74,0.22707562815910665,14,0.28180824985958275,37,0.2504979396013844,163,71.76942687118314,52,0.005733821915438386,9,0.0,1,363.2008749092431,0,2,2,1,118,0.17586558287773973,92,0.9339536606801935,37,9.929275546447306,111,0.7625317312576491,2611758.0
Artesia,Willowbrook,207.0,15.592363055013344,2352548.0,4.196986,4.341865,16395,24295,21,0.006694966593591349,5,0.004498999563799847,0,62.58525361669625,0,0,2,0,246,0.7185654201013123,14,0.17556578007079604,33,0.04891510744381685,17,0.17958737544288322,4,0.0014956255328944952,3,0.20024585378489948,0,73.54893793381656,0,1,1,0,76,0.08425953109662922,19,0.24819932237611977,23,0.015105661402610186,9,0.060805546271463506,9056773.0
Upland,Chino,7069.0,15.35031402972564,646261.0,40.363418,76.677037,79040,91403,143,0.021533516942376763,105,0.1261682618487644,2,836.3369451854736,0,54,20,16,384,1.1046617475462432,237,4.817577713877302,448,1.675221048368443,370,1.782637696244887,49,0.014805433027295645,17,0.08759927146541985,7,824.7187716461646,0,29,11,7,141,1.350464973246977,33,1.1202743618683335,201,5.223565520183203,298,4.263916190721713,1870179.0
Lodi,Fair Oaks,74.0,58.87386374726405,2231953.0,35.327014,28.169829,66348,32514,50,0.0028820208023100603,4,0.06351855492989862,54,548.8423358878194,0,137,12,11,96,1.0173381124885734,26,0.5575047178316094,68,0.2563248457451947,132,1.606866498306335,18,0.0017557377047916695,0,0.0,0,317.7257644521497,0,41,3,1,30,0.16156113426135524,24,0.3949228066014971,38,0.08032500654151653,78,9.408471109146197,2901190.0
Monrovia,Glendora,808.0,12.76819712329106,519424.0,35.306568,50.531742,37931,52558,90,0.007317298868439217,13,0.01256207352451015,3,315.8135343490193,1,1,7,0,484,1.2747113163685664,115,0.3806200624256734,61,0.11705672159784755,104,425.15957812443315,34,0.010435357905553813,19,0.07713048321877645,0,404.0837510320118,1,25,4,0,464,0.6847005223543975,159,1.3805817014163477,139,0.31767785122458125,158,426.60823250925927,1271977.0
Menlo Park,San Jose,4742.0,35.8539180033458,2698995.0,25.873981,461.821936,33780,1013240,102,0.008463416865665159,21,0.39465445584459,5,481.3870402649619,1,18,6,12,192,0.30396206356583744,25,0.5199002459927032,930,1.190500551388294,1030,3.9036398735832676,1876,0.4867654918330057,617,0.9014809639840335,166,10974.109919986942,0,1062,337,477,4088,13.013387488906366,2504,17.746348321182662,6931,12.545693614932734,0,0.0,8004469.0
