name,m,area
Madison,2912,6.827626
North Port,74793,257.393424
Lantana,11504,6.129682
Pahokee,5524,13.766034
West Palm Beach,117415,139.389655
Avon Park,9658,26.238789
Atlantic Beach,13513,9.533268
Jacksonville Beach,23830,18.952469
Neptune Beach,7217,6.053034
St. Augustine,14329,24.660517
Port Richey,3052,5.752825
San Antonio,1297,3.520261
Dade City,7275,17.312243
Orange Park,9089,9.423393
Ocala,63591,122.394663
Palmetto Bay,24439,21.457215
Apopka,54873,89.596672
Sunrise,97335,41.953996
Tamarac,71897,30.031144
Weston,68107,63.695046
West Park,15130,5.693183
Riviera Beach,37604,21.441192
Royal Palm Beach,38932,29.381909
South Bay,4860,7.411275
Wellington,61637,116.464126
Okeechobee,5254,10.503786
Century,1713,8.33708
Belle Isle,7032,6.215271
Maitland,19543,13.882185
Hallandale Beach,41217,10.909332
Lauderdale-by-the-Sea,6198,2.270798
Lauderdale Lakes,35954,9.5331
Destin,13931,19.407426
Wilton Manors,11426,5.101568
Lauderhill,74482,22.055046
Lighthouse Point,10486,5.974211
Margate,58712,22.688471
Hollywood,153067,70.579359
Oakland,3516,6.111552
Orlando,307573,287.102775
Belleair,4273,4.484002
Belleair Beach,1633,1.234629
Belleair Bluffs,2311,1.192624
Clearwater,117292,67.679309
Gulfport,11783,7.161137
Indian Rocks Beach,3673,2.187868
Indian Shores,1190,0.864594
Gulf Breeze,6302,12.122982
Madeira Beach,3895,2.542938
Pinellas Park,53093,41.763584
Redington Shores,2176,0.854328
Safety Harbor,17072,12.753046
Panama City,32939,90.968408
St. Pete Beach,8879,5.506958
South Pasadena,5353,1.580132
Treasure Island,6584,4.003657
Parker,4010,4.950664
Springfield,8075,10.820357
Oldsmar,14898,23.170578
Vero Beach,16354,29.783516
Highland Park,251,1.416651
Jupiter Island,804,7.019565
Tarpon Springs,25117,23.982323
Indian River Shores,4241,13.270781
Sewall's Point,1991,3.050789
Brooksville,8890,28.966409
Palm Shores,1200,1.555196
Satellite Beach,11226,7.564576
Titusville,48789,75.689682
Rockledge,27678,34.236471
Lakeland,112641,171.685496
Cocoa,19041,35.569125
Melbourne,84678,114.35693
Palm Bay,119760,223.820939
Fort Walton Beach,20922,19.794013
Mary Esther,3982,3.768592
Cape Canaveral,9972,5.754867
Cocoa Beach,11354,12.064959
Indialantic,3010,2.517231
Indian Harbour Beach,9019,5.419577
Melbourne Beach,3231,2.557835
Gainesville,141085,164.110513
Kissimmee,79226,55.688385
Arcadia,7420,11.468173
Lake Helen,2842,11.795098
Green Cove Springs,9786,19.504609
Flagler Beach,5160,9.283457
New Port Richey,16728,11.798421
Zephyrhills,17194,24.742892
North Miami Beach,43676,12.546327
West Miami,7233,1.836188
Malone,1959,7.895475
Bunnell,3276,362.074212
North Bay Village,8159,0.957592
Surfside,5689,1.443543
Sweetwater,19363,5.677502
Bradenton,55698,37.134572
Mascotte,6609,32.075232
Tavares,19003,32.027024
Sunny Isles Beach,22342,2.61738
Cutler Bay,45425,25.606166
Doral,75874,35.829453
Altamonte Springs,46231,23.566527
Sanford,61051,61.07037
Oviedo,40059,40.202567
Lake Mary,16798,23.503975
Longwood,15087,14.256361
Grant-Valkaria,4509,70.50414
Miami Lakes,30467,14.651596
Miami,442241,93.228401
Fort Myers Beach,5582,7.204107
Sanibel,6382,41.904758
Fort Myers,86395,103.189904
Fort Pierce,47297,61.617494
Port St. Lucie,204851,308.768074
Plant City,39764,73.019441
Tampa,384959,295.299062
Temple Terrace,26690,19.360586
Crescent City,1654,5.347109
Miami Gardens,111640,47.209207
Aventura,40242,6.858738
Bal Harbour,3093,0.992933
Wildwood,15730,145.765276
Coral Gables,49248,33.480926
Pensacola,54312,58.951748
Hialeah,223109,55.895716
Hialeah Gardens,23068,8.344775
Homestead,80737,39.066901
Medley,1056,13.167448
Miami Beach,82890,19.923658
North Miami,60191,21.908019
Pinecrest,18388,19.297321
Stuart,17425,18.252029
Golden Beach,961,0.843255
Indian Creek,84,1.10852
Key Biscayne,14809,3.230374
Miami Shores,11567,6.440547
Miami Springs,13859,7.455957
Opa-locka,16463,11.156828
South Miami,12026,5.87186
Bartow,19309,120.231292
Fort Meade,5100,21.195412
Frostproof,2877,27.93992
Lake Wales,16361,48.807038
Lake Butler,18851,29.528476
Venice,25463,41.77397
Cross City,1689,4.78152
Sebastian,25054,36.256301
Coconut Creek,57833,28.944946
Cooper City,34401,20.818544
Coral Springs,134394,59.218761
Deerfield Beach,86859,38.709086
Bradenton Beach,908,1.33894
Longboat Key,7505,10.562362
Palmetto,13323,13.857597
Miramar,134721,74.729795
North Lauderdale,44794,11.970406
Parkland,34670,32.383486
Pembroke Park,6260,3.573323
Pompano Beach,112046,62.216264
Bonita Springs,53644,99.502756
Cape Coral,194016,274.613634
Daytona Beach,72647,169.88558
Edgewater,23097,63.996358
DeBary,22260,49.083938
DeLand,37351,49.930749
"Islamorada, Village of Islands",7107,16.703315
Marathon,9689,21.875978
Oak Hill,1986,17.404382
Ponce Inlet,3364,11.615038
South Daytona,12865,9.585926
Deltona,93692,96.668412
Ormond Beach,43080,90.090884
Port Orange,62596,69.492044
Lake Hamilton,1537,8.080593
Winter Haven,49219,85.053996
