name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Royal Palm Beach,Jacksonville,169.0,428.0736770688249,13768828.0,29.381909,1935.492088,38932,949611,19,0.0033699163440451055,6,0.0018456934351988078,2,396.1875919190945,0,21,18,6,45,1.63010621547507,9,0.5622662897731764,45,0.24286820243786145,167,5.983746989870735,869,0.3980321916856358,213,3.3771897511539035,1514,14253.316643651488,22,4472,1135,1849,2823,22.814659166279,644,18.307970803334907,4138,59.01815153039318,4672,158.30929090100952,21778764.0
Sunrise,North Bay Village,53.0,37.5221408130804,2725973.0,41.953996,0.957592,97335,8159,81,0.014587318723534831,14,0.039669174719888255,3,861.615376855253,0,48,29,35,159,2.6107513856547713,37,0.7360929635825483,360,1.3118408745106778,276,5.840723468709671,6,0.0038821825914962453,0,0.0,0,14.705585156645421,0,2,1,0,5,0.009479478776384899,3,0.05086211231036921,15,0.006057557557096144,15,0.03019130621024201,6069272.0
Zephyrhills West,Elfers,52.0,50.669127480938634,1909284.0,6.81308,9.652261,5533,14573,0,0.0,0,0.0,0,84.18864018368083,0,0,0,0,0,0.0,1,0.05381066052551069,0,0.0,0,0.0,10,0.0020519369709934864,7,0.003814845437070106,0,119.09793671881552,0,48,4,51,42,0.16404499766382935,34,0.27432041548326375,13,0.018807452097632068,35,0.023015664159098448,4308966.0
Sweetwater,Pembroke Park,78.0,30.490760785700463,2597536.0,5.677502,3.573323,19363,6260,21,0.001207883848839392,1,0.0010254350389829402,2,110.65510017872695,0,2,2,2,65,0.8477339201440705,11,0.03475076283347534,148,0.2624539970381507,16,0.028912263114737914,0,0.0,0,0.0,0,89.77024076664944,0,0,0,1,3,0.0010897770408892895,6,0.24748681672146644,4,0.011368069627835722,16,0.49782166220676805,4130103.0
Cocoa Beach,Melbourne,1354.0,24.561629158395668,164673.0,12.064959,114.35693,11354,84678,77,0.004444160818882441,9,0.05929534013479613,0,207.3956223180041,0,3,0,0,71,0.04687544223401683,10,0.06247220839823036,196,0.239342655599721,169,1.1866401851267505,99,0.015343833798677159,21,0.032290423998067516,6,1032.5896800101796,0,71,19,12,192,2.2049470282844954,47,1.178387359465773,380,10.436217541772129,309,4.0765586332562815,249666.0
Surfside,Jupiter,54.0,115.61587384095515,5105831.0,1.443543,56.016549,5689,61047,2,0.0,1,0.0,0,21.617259602294055,0,0,1,1,3,0.056903827411940604,1,0.0,41,0.013755894464757243,32,0.023788261859294994,23,0.0041596568534154835,2,0.11066250907702432,2,848.2233844912166,0,14,10,3,48,0.7855023278403109,33,1.2697361458280345,58,0.2962284674422576,449,19.285859094686344,10293549.0
Miami Shores,Vero Beach,69.0,199.09593659766236,6247895.0,6.440547,29.783516,11567,16354,13,0.00037654419152474624,3,0.0013660127658684446,0,128.60014127142918,0,0,1,0,11,0.141554658516592,31,0.5331260942024981,118,0.07612497209567476,55,0.5336364255408701,74,0.017427739927274883,26,0.00966361039321527,2,423.55555880595733,1,69,75,88,195,0.6953058075587895,17,0.447140395038835,651,5.8509761981567205,214,1.7263748123292029,11557081.0
Apopka,St. Augustine,45.0,134.53008074284367,5270800.0,89.596672,24.660517,54873,14329,26,0.0036383849324533248,7,0.1093744463074675,4,870.6776529072384,0,200,4,2,62,0.19089080831470034,12,0.5816744320499037,173,0.4457113406450871,101,152.5398194461689,178,0.024796386142507208,8,0.217344585412726,0,258.87951761244267,0,14,7,2,227,0.24240315818508917,49,0.7895332747981906,152,0.23975058455277398,390,4.186583504611207,7556825.0
Miami Beach,Miami Gardens,797.0,18.063812709206406,1112886.0,19.923658,47.209207,82890,111640,332,0.013123142408138118,44,0.3001220404527083,3,483.02611364987786,0,16,27,33,470,0.6316363942225962,61,0.22935971763417598,937,0.37753967062323324,1251,3.741516566998435,16,0.0028254287576334465,3,0.0026290751545650073,3,662.2509662891553,0,1,12,0,59,1.215108297801904,130,2.066529616008973,626,7.002615648954991,144,2.3023730968175053,1868907.0
San Antonio,Dade City,1273.0,8.535977074635355,11120.0,3.520261,17.312243,1297,7275,0,0.0,0,0.0,0,35.50715303322934,0,0,0,0,3,0.0004806982207402659,2,0.07795555927343033,1,0.004050462969223488,8,0.07631741904688437,3,0.000617719354115936,3,0.09296067567078783,0,165.38357354598838,0,0,0,1,6,0.0048001104790136384,9,0.9318892615149766,18,0.03180162811719951,10,0.2538059531832777,38492.0
Miami Beach,Marathon,18.0,148.7903142580839,5174842.0,19.923658,21.875978,82890,9689,332,0.013123142408138118,44,0.3001220404527083,3,483.02611364987786,0,16,27,33,470,0.6316363942225962,61,0.22935971763417598,937,0.37753967062323324,1251,3.741516566998435,41,0.009617197585216232,5,0.030416200395138978,2,158.57872573386456,0,4,3,0,33,0.11267749977434659,7,0.1524992301317013,134,0.3029671157937117,171,2.448236584574313,10173804.0
Casselberry,Holden Heights,63.0,19.090713315907795,527976.0,18.048551,2.656061,28794,4097,15,0.005637398528240267,3,0.0015564520751833015,1,332.24157619568666,0,14,8,0,41,1.1296080871503345,15,0.02993959836820628,13,0.12942818433845793,77,0.8068409120297606,1,0.0,0,0.0,1,40.9252652918087,0,19,0,0,1,0.0,2,0.0,8,0.0,3,0.19611095467550924,710350.0
Brownsville,South Miami,225.0,13.65974234845386,1176659.0,5.90394,5.87186,16583,12026,1,0.0,0,0.0,0,119.48225810458955,2,0,0,0,4,0.001101493079394458,27,0.20981807170115166,160,0.0066246027044648825,14,0.14426095734295127,9,0.00016732157870544997,3,0.07854033537327619,0,124.82157051320466,0,2,5,0,28,0.22458695879665938,29,0.1577703450571145,198,0.05312691305474947,36,0.17068933696011057,2186255.0
Lutz,Cypress Quarters,42.0,189.54816170137804,7344505.0,63.268465,6.916284,23707,1029,3,0.0006768659272426654,4,0.00031831424666184567,0,414.2743773327587,0,3,0,0,47,0.040668406170035094,20,0.14141031569350646,11,0.029167576095333003,97,12.101024143016575,0,0.0,0,0.0,0,17.92310394302812,0,0,0,0,0,0.0,2,0.0,0,0.0,0,0.0,10129149.0
Harbour Heights,Arcadia,60.0,29.28004568154003,172975.0,5.616612,11.468173,3428,7420,0,0.0,0,0.0,0,54.51412323169494,0,13,0,2,0,0.0,0,0.0,0,0.0,9,0.03507178309446267,1,0.0,5,0.09374973141608078,2,121.57605810211916,1,0,1,0,9,0.012586280134762567,10,0.4005741112762642,20,0.03827112785220448,24,0.6222828970926446,165755.0
Melbourne,Kissimmee,334.0,77.02281518709592,1154844.0,114.35693,55.688385,84678,79226,99,0.015343833798677159,21,0.032290423998067516,6,1032.5896800101796,0,71,19,12,192,2.2049470282844954,47,1.178387359465773,380,10.436217541772129,309,4.0765586332562815,43,0.01276741091588976,10,0.16752065523603119,1,801.6453852639095,2,27,0,3,110,0.15891951996609552,17,1.0776015816215994,394,1.1005464705310586,125,12.714748762941872,1314023.0
Coral Terrace,Sunrise,135.0,47.497341909520564,3486574.0,8.69985,41.953996,23142,97335,19,0.002564558691210861,14,0.15820396991071498,2,153.88994058258817,0,51,28,6,151,0.3599740591800492,27,0.09813169678358016,209,0.04202797089183798,20,0.3209389038283915,81,0.014587318723534831,14,0.039669174719888255,3,861.615376855253,0,48,29,35,159,2.6107513856547713,37,0.7360929635825483,360,1.3118408745106778,276,5.840723468709671,6513053.0
Fruitville,Bardmoor,63.0,64.98345202992328,1207197.0,17.675091,5.675815,15484,9852,21,0.0061767315152995396,1,0.0025411957694768225,0,219.8649409344894,1,2,4,2,32,0.5452044026935575,6,0.14797752982144066,21,0.0968691971655526,49,2.5722920283901476,5,0.00019374695713441902,1,0.0,0,72.6776699963642,0,0,1,0,7,0.074358218892413,5,0.07805735473200211,17,0.002118174996550333,5,1.4215062722563727,1716559.0
Hollywood,Port Charlotte,125.0,221.28822964185605,6572065.0,70.579359,73.763477,153067,60625,71,0.012910059935232789,15,0.1667938449696364,12,1197.2171052074968,1,20,15,8,123,1.8703043362324696,80,1.1817546411214954,276,6.35812987657074,459,11.676079588515202,46,0.010225494264703781,13,0.1511509113830762,12,897.1083795787941,1,69,48,12,109,3.213419763141675,29,0.705147641803731,123,0.28289200152455424,159,97.12291386775479,11556644.0
Combee Settlement,Port Charlotte,57.0,120.82445859291892,5797367.0,5.118815,73.763477,5911,60625,0,0.0,0,0.0,1,64.83709926270411,0,0,0,1,0,0.0,2,0.10975608140599168,2,0.017457975090759373,7,0.09455823286103385,46,0.010225494264703781,13,0.1511509113830762,12,897.1083795787941,1,69,48,12,109,3.213419763141675,29,0.705147641803731,123,0.28289200152455424,159,97.12291386775479,8570542.0
South Venice,St. Augustine,147.0,334.9451187696765,13482241.0,15.425208,24.660517,15619,14329,1,0.0,0,0.0,0,198.12816712937357,0,0,0,0,8,0.00567413929433389,0,0.0,3,0.001427239720859036,13,0.005666496025898165,178,0.024796386142507208,8,0.217344585412726,0,258.87951761244267,0,14,7,2,227,0.24240315818508917,49,0.7895332747981906,152,0.23975058455277398,390,4.186583504611207,21458421.0
Winter Park,Orange City,79.0,38.36390447392004,1640658.0,22.697253,20.245805,29795,12632,60,0.018614946069751347,8,0.1548897606895364,0,368.21761299878096,0,197,7,22,75,1.0439938411003067,86,0.19275090190155697,77,0.10898382468713101,321,3.6186322285874577,28,0.007909768248248192,8,0.25345481745004517,0,254.19682783780507,0,19,0,0,38,0.04820699921784689,5,0.4669110378257336,50,0.15201859603182122,67,0.5165589033051646,1664792.0
Bradenton,Lehigh Acres,61.0,134.68323612033498,4104403.0,37.134572,240.077138,55698,114287,33,0.018154407963371946,16,0.24860401054193673,1,539.3648831992305,1,2,3,1,103,0.2680551191987158,76,0.4874836319154497,124,0.3245728974068196,164,3.981770050874696,12,0.001960194823088481,2,0.06857429958154299,1,2281.918074854653,0,70,1,0,17,0.684443254838975,13,1.1237443021139908,25,0.3784786829465111,81,6.760878524063572,7104350.0
Ruskin,Silver Springs Shores,39.0,161.15932401584783,6156835.0,47.113861,38.678504,28620,24846,5,0.0007014518034586918,0,0.0,3,383.040737596544,2,1,0,0,5,0.0016549710228523672,21,0.46497389210887696,37,0.015268009436460584,43,6.479595397772405,6,0.00198189569298817,0,0.0,0,314.10474666533656,0,5,3,0,28,0.24171108992523754,7,0.2766231842278077,8,0.0021960477438722655,15,33.91680199195576,9042152.0
Jacksonville,Tavares,130.0,174.92667932453608,1346207.0,1935.492088,32.027024,949611,19003,869,0.3980321916856358,213,3.3771897511539035,1514,14253.316643651488,22,4472,1135,1849,2823,22.814659166279,644,18.307970803334907,4138,59.01815153039318,4672,158.30929090100952,13,0.0027687413670334166,4,0.2410808196875286,0,310.778457476077,0,3,0,0,40,0.04153119217517869,7,0.15123857034005206,37,0.061682608830341344,47,3.234741429539063,1005633.0
Lakeland,Hollywood,190.0,286.5388258418344,11971031.0,171.685496,70.579359,112641,153067,119,0.02232772808534485,34,0.2325799192217732,24,2266.6490025898793,5,16,6,6,121,1.47337392105156,80,3.21209206235292,512,6.160506949609277,227,67.68720590881243,71,0.012910059935232789,15,0.1667938449696364,12,1197.2171052074968,1,20,15,8,123,1.8703043362324696,80,1.1817546411214954,276,6.35812987657074,459,11.676079588515202,17501641.0
Palm Harbor,West Lealman,108.0,29.512589908020598,890527.0,44.960016,8.148757,61366,16438,21,0.0032897413454742335,10,0.006397694759111752,0,553.4939619407838,2,6,1,0,56,0.08602146824403611,27,0.7884187807265767,119,0.11981976251160861,103,5.443484239084958,13,0.003631423161966889,2,0.002806458434008384,0,120.66622275742013,0,1,2,1,18,0.08705289989152394,39,0.2241304019630124,60,0.07463983710564912,14,0.03189330747536958,1749044.0
Ojus,North Bay Village,255.0,11.907596286137004,651135.0,6.860723,0.957592,19673,8159,19,0.0013069845785380198,9,0.0011572793461011085,0,174.35124557733468,0,1,0,0,20,0.028645130945686367,24,0.1425240691144791,88,0.029768657588931668,89,1.2723565528817848,6,0.0038821825914962453,0,0.0,0,14.705585156645421,0,2,1,0,5,0.009479478776384899,3,0.05086211231036921,15,0.006057557557096144,15,0.03019130621024201,1598099.0
Springfield,Fort Walton Beach,216.0,100.94695919085152,170487.0,10.820357,19.794013,8075,20922,2,0.0006022734023412771,2,0.00039724685184281484,1,143.08291763760187,0,0,0,0,12,0.012413065832168156,4,0.2457140561683306,2,0.01422153703579187,12,0.20696777753347426,41,0.014380393907214337,6,0.07294536172769431,0,697.136487620206,0,1,5,0,127,0.4716251903113135,35,0.9586296395753287,301,0.11424293314594641,156,2.0559442954160545,126794.0
Apollo Beach,Sarasota,316.0,49.21818649299431,2207674.0,50.968039,38.065059,26002,54842,6,0.00017197269746559166,0,0.0,4,362.5253267937427,0,15,0,0,12,0.009379913144918598,8,0.3437000713843257,30,0.053278495611642974,61,0.779549861349099,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028,4675323.0
East Lake-Orient Park,San Antonio,101.0,38.20306557104596,1624157.0,40.957965,3.520261,28050,1297,12,0.00448810924626393,0,0.0,4,488.05561896894545,3,7,1,0,18,0.008762794173432066,46,0.4785746593645995,286,1.8461314723833655,63,2.064826465263539,0,0.0,0,0.0,0,35.50715303322934,0,0,0,0,3,0.0004806982207402659,2,0.07795555927343033,1,0.004050462969223488,8,0.07631741904688437,3879604.0
Palm Springs North,Hallandale Beach,193.0,19.808260947423932,1611797.0,2.060167,10.909332,5030,41217,0,0.0,0,0.0,0,27.61489661389178,0,0,0,0,0,0.0,6,0.047893529310990425,13,0.006577186481112907,10,0.1007609276832422,26,0.0029304578452742907,3,0.0,0,222.46236251323595,0,3,3,1,35,0.4754118446494132,14,0.2801561332053786,100,0.5410638691558929,197,1.2439696148721808,2792722.0
Land O' Lakes,Bradenton,56.0,80.92547450861161,3174654.0,49.098217,37.134572,35929,55698,22,0.006908852180698341,9,0.04215353592104733,2,410.03277428776136,0,64,15,46,118,0.984873624619153,65,0.5187758691475987,17,0.05516094779565346,147,31.219600973763015,33,0.018154407963371946,16,0.24860401054193673,1,539.3648831992305,1,2,3,1,103,0.2680551191987158,76,0.4874836319154497,124,0.3245728974068196,164,3.981770050874696,5922491.0
Sarasota Springs,Sarasota,5666.0,7.467205495510926,56681.0,6.930006,38.065059,12521,54842,6,0.0017741587472726904,3,0.10963098133261498,0,107.21149037264546,0,0,0,0,23,0.01041407393149,7,0.08692177539730454,3,0.010135071631905374,3,0.0003297799347127369,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028,166444.0
West Little River,South Miami,71.0,17.493289061931915,1776886.0,11.877888,5.87186,34128,12026,2,0.00013196662633041176,1,0.0,0,187.75707856240658,1,0,0,0,4,0.00018063737820820348,48,0.4107763089003326,193,0.014745985484548215,15,0.15582562774658135,9,0.00016732157870544997,3,0.07854033537327619,0,124.82157051320466,0,2,5,0,28,0.22458695879665938,29,0.1577703450571145,198,0.05312691305474947,36,0.17068933696011057,3023768.0
Boca Raton,Tavernier,57.0,154.9064348330202,5613755.0,75.573116,6.510124,97422,2530,106,0.00890898622055103,24,0.12543053643640856,1,1253.523129867109,1,95,33,92,239,1.9770385151941479,196,5.326713191838838,405,2.4374383112573055,1226,10.443778511078916,4,0.0004840430738827052,2,0.02990172096574296,0,52.693611983573334,0,0,0,0,3,0.010125526756428332,0,0.0,3,0.022290064763299245,10,17666.216977484688,10668430.0
Punta Gorda,Coral Springs,153.0,188.25194121524126,6165821.0,40.134992,59.218761,19471,134394,53,0.0010060621834963423,4,0.04113578378429581,7,314.80359871564576,0,72,8,37,32,0.44337851836630615,13,0.5784509191550653,155,0.41534375961351455,261,96.44155653231483,62,0.00915044812852813,17,0.11552244394548213,0,983.3439516484624,0,88,59,18,161,3.4831308110330204,119,1.4303041551768432,191,0.771997138561505,525,5.595837863794156,9138859.0
Arcadia,Bradenton,77.0,76.976778883967,1088469.0,11.468173,37.134572,7420,55698,1,0.0,5,0.09374973141608078,2,121.57605810211916,1,0,1,0,9,0.012586280134762567,10,0.4005741112762642,20,0.03827112785220448,24,0.6222828970926446,33,0.018154407963371946,16,0.24860401054193673,1,539.3648831992305,1,2,3,1,103,0.2680551191987158,76,0.4874836319154497,124,0.3245728974068196,164,3.981770050874696,1167561.0
Westwood Lakes,Tavernier,62.0,78.75383939317773,4422462.0,4.294621,6.510124,11373,2530,0,0.0,0,0.0,0,67.22027282799745,0,0,0,0,2,0.0,14,0.13185600246655463,43,0.0,3,0.059931339590981625,4,0.0004840430738827052,2,0.02990172096574296,0,52.693611983573334,0,0,0,0,3,0.010125526756428332,0,0.0,3,0.022290064763299245,10,17666.216977484688,9004520.0
Riviera Beach,Mangonia Park,6967.0,2.5381862749753994,9047.0,21.441192,1.938062,37604,2142,20,0.0026229529545316083,6,0.30883613390222714,6,358.33494335096776,0,2,7,3,32,0.33376616785334057,20,0.5153649877985427,40,0.12117442159238465,136,2.2522635667723647,1,0.0,0,0.0,0,38.365465160134306,0,0,2,0,2,0.08755183251000705,0,0.0,7,0.009580529024110244,2,0.005660467527226224,70085.0
Auburndale,Sarasota,51.0,112.96617228845702,5780665.0,35.116157,38.065059,15616,54842,17,0.00434340227669231,6,0.010020563481764711,17,589.2601076937847,1,44,2,1,38,0.1867256227600626,33,0.5736135453857113,367,0.9988998112575779,112,42.37456534117466,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028,8648944.0
Port St. Lucie,Vero Beach South,797.0,37.064427538245816,190346.0,308.768074,30.522487,204851,28020,26,0.006523330550427939,10,0.1286056935719487,4,1862.0457288795865,0,30,45,21,139,2.157225760045103,27,2.148614590715633,328,0.5545713916377206,304,37.710637742970555,21,0.005897276263331445,8,0.0024481269342257715,1,379.9281483175161,0,213,63,48,156,1.020277132138052,5,0.42297940072564816,1520,0.25917016808440646,88,0.16389823149164578,338951.0
