name,m,area
Southbridge Town,17740,52.416905
Palmer Town,12448,81.782338
Braintree Town,39143,35.644316
Weymouth Town,57437,43.420939
Barnstable Town,48916,155.215093
Gardner,21287,57.153213
Northampton,29571,88.695636
Fitchburg,41946,72.063644
Winthrop Town,19316,5.155473
Framingham,72362,64.863272
Everett,49075,8.848535
Newton,88923,46.173587
Somerville,81045,10.680438
Westfield,40834,119.814349
Boston,675647,125.200663
Chelsea,40787,5.746368
Revere,62186,14.772907
Attleboro,46461,69.358023
New Bedford,101079,51.802064
Beverly,42670,39.082255
Gloucester,29729,67.85234
Fall River,94000,85.787944
Taunton,59408,120.973119
Malden,66263,13.064186
Marlborough,41793,54.037559
Worcester,206518,96.762671
Leominster,43782,74.650497
Brockton,105643,55.251286
North Adams,12961,52.698042
Pittsfield,43927,104.812683
Easthampton Town,16211,34.504776
Agawam Town,28692,60.403412
Chicopee,55560,59.325175
Holyoke,38238,54.826719
Springfield,155929,82.542449
West Springfield Town,28835,43.331574
Lowell,115554,35.251105
Medford,59659,20.976098
Melrose,29817,12.130224
Waltham,65218,33.005267
Woburn,40876,32.762645
Cambridge,118403,16.566796
Watertown Town,35329,10.350067
Quincy,101636,42.922985
Franklin Town,33261,68.994894
Lynn,101253,27.813613
Methuen Town,53059,57.529733
Newburyport,18289,21.626955
Peabody,54481,42.052588
Salem,44480,21.481052
Lawrence,89143,17.948043
Haverhill,67787,85.563979
Amesbury Town,17366,31.836415
Abington,17062,25.795963
Acushnet Center,3030,3.665479
Adams,5466,6.344667
Andover,9735,9.551029
Arlington,46308,13.320515
Athol,8486,21.203904
Barre,1029,4.097646
Belmont,27295,12.03606
Bliss Corner,5480,5.182972
Brookline,63191,17.508152
Burlington,26377,30.432294
Clinton,8166,3.865771
Cochituate,6927,9.864982
Danvers,28087,34.392465
Dedham,25364,26.600181
Dennis,2399,12.719601
Dennis Port,3487,7.869151
Duxbury,1896,5.71801
East Dennis,2585,12.52249
East Falmouth,6278,14.079135
East Harwich,5250,20.772775
East Pepperell,2120,3.667272
East Sandwich,3669,19.466895
Essex,1517,5.332129
Falmouth,3818,5.407713
Hanson,2028,4.752213
Harwich Center,1995,5.825394
Hingham,5979,8.023243
Holbrook,11405,18.79036
Hopedale,3939,4.528344
Hudson,15749,14.879753
Hull,10072,7.437835
Ipswich,4370,4.245885
Kingston,5700,12.461477
Lexington,34454,42.56424
Littleton Common,3065,9.167554
Longmeadow,15853,23.541604
Lunenburg,1789,9.835029
Lynnfield,13000,25.528262
Mansfield Center,7830,7.137613
Marblehead,20441,11.340917
Marshfield,4653,13.087014
Mattapoisett Center,3190,12.667866
Maynard,10746,13.492063
Medfield,6939,12.814819
Milford,26971,26.299455
Milton,28630,33.698169
Monument Beach,2784,6.686671
Nahant,3334,2.786306
Nantucket,10166,15.082444
Needham,32091,31.851573
Northborough,6474,8.506993
North Falmouth,3293,10.081646
North Lakeville,3290,13.067205
North Pembroke,3490,11.590054
North Plymouth,3983,3.227075
Northwest Harwich,4296,20.675204
North Westport,4720,13.441052
Norwood,31611,26.882338
Orange,3636,15.520207
Oxford,5928,8.972223
Pinehurst,7368,9.659588
Plymouth,7667,5.797216
Pocasset,2843,9.57564
Reading,25518,25.837458
Rockport,5010,10.308749
Rowley,1523,4.439854
Sagamore,3851,8.624663
Sandwich,2998,9.403352
Saugus,28619,27.907444
Sharon,6184,7.749463
Smith Mills,4832,12.089543
Somerset,18303,20.456373
South Dennis,3899,11.78501
South Duxbury,3463,7.602522
South Yarmouth,11703,18.015446
Spencer,5810,5.463145
Stoneham,23244,15.57867
Swampscott,15111,7.82679
Topsfield,2864,7.011666
Turners Falls,4512,4.923597
Upton,3090,6.395717
Vineyard Haven,2747,3.377879
Wakefield,27090,19.145255
Ware,6266,16.110077
Webster,12194,7.69424
Wellesley,29550,25.954492
Westborough,4255,4.890154
West Concord,6320,8.745029
West Dennis,2304,8.44664
West Yarmouth,6278,17.325507
Whitinsville,6750,9.433663
Wilbraham,4003,14.482898
Williamstown,4308,8.801262
Wilmington,23349,43.961038
Winchester,22970,15.621817
Yarmouth Port,5403,15.588965
