residence,workplace,commuters
Southbridge Town,Framingham,69.0
Southbridge Town,Newton,91.0
Southbridge Town,Westfield,146.0
Southbridge Town,Boston,1571.0
Southbridge Town,Chelsea,91.0
Southbridge Town,Marlborough,413.0
Southbridge Town,Worcester,7592.0
Southbridge Town,Chicopee,358.0
Southbridge Town,Holyoke,146.0
Southbridge Town,Springfield,240.0
Southbridge Town,West Springfield Town,77.0
Southbridge Town,Lowell,69.0
Southbridge Town,Waltham,77.0
Southbridge Town,Cambridge,105.0
Southbridge Town,Lynn,46.0
Southbridge Town,Methuen Town,137.0
Southbridge Town,Lawrence,91.0
Southbridge Town,Hudson,77.0
Southbridge Town,Oxford,1296.0
Southbridge Town,Spencer,365.0
Southbridge Town,Upton,84.0
Southbridge Town,Ware,84.0
Southbridge Town,Webster,1995.0
Palmer Town,Southbridge Town,608.0
Palmer Town,Braintree Town,82.0
Palmer Town,Northampton,164.0
Palmer Town,Fitchburg,186.0
Palmer Town,Framingham,61.0
Palmer Town,Newton,248.0
Palmer Town,Westfield,646.0
Palmer Town,Boston,587.0
Palmer Town,New Bedford,82.0
Palmer Town,Marlborough,236.0
Palmer Town,Worcester,1233.0
Palmer Town,Easthampton Town,93.0
Palmer Town,Agawam Town,340.0
Palmer Town,Chicopee,2613.0
Palmer Town,Holyoke,1496.0
Palmer Town,Springfield,8468.0
Palmer Town,West Springfield Town,2432.0
Palmer Town,Cambridge,93.0
Palmer Town,Quincy,61.0
Palmer Town,Methuen Town,82.0
Palmer Town,Haverhill,93.0
Palmer Town,Andover,186.0
Palmer Town,Barre,93.0
Palmer Town,Belmont,124.0
Palmer Town,Longmeadow,186.0
Palmer Town,Oxford,93.0
Palmer Town,Turners Falls,61.0
Palmer Town,Ware,1588.0
Palmer Town,Wilbraham,3135.0
Braintree Town,Weymouth Town,5280.0
Braintree Town,Winthrop Town,346.0
Braintree Town,Framingham,297.0
Braintree Town,Everett,102.0
Braintree Town,Newton,1310.0
Braintree Town,Somerville,526.0
Braintree Town,Boston,18800.0
Braintree Town,Chelsea,344.0
Braintree Town,Revere,576.0
Braintree Town,Attleboro,81.0
Braintree Town,Taunton,257.0
Braintree Town,Malden,134.0
Braintree Town,Worcester,224.0
Braintree Town,Brockton,1750.0
Braintree Town,Medford,527.0
Braintree Town,Waltham,339.0
Braintree Town,Woburn,111.0
Braintree Town,Cambridge,992.0
Braintree Town,Watertown Town,60.0
Braintree Town,Quincy,18159.0
Braintree Town,Franklin Town,92.0
Braintree Town,Lynn,226.0
Braintree Town,Abington,215.0
Braintree Town,Acushnet Center,74.0
Braintree Town,Brookline,162.0
Braintree Town,Danvers,60.0
Braintree Town,Dedham,1519.0
Braintree Town,Falmouth,74.0
Braintree Town,Hanson,74.0
Braintree Town,Hingham,821.0
Braintree Town,Holbrook,1190.0
Braintree Town,Hull,367.0
Braintree Town,Kingston,240.0
Braintree Town,Lexington,92.0
Braintree Town,Mansfield Center,250.0
Braintree Town,Milton,1135.0
Braintree Town,Monument Beach,103.0
