name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Smith Mills,Fall River,3248.0,11.818502099716088,114309.0,12.089543,85.787944,4832,94000,31,0.008463120400654505,4,0.0003072575568952861,0,121.20658908574731,0,0,1,0,58,0.3663338626546338,5,0.1134276807979013,33,0.33569283457782373,55,2.4652831527224826,54,0.001031573956320055,11,0.13885172880385943,11,745.986656179776,2,6,6,4,78,0.49734771764405517,121,1.5214305127422603,413,0.18630806658519303,158,40.67802159213706,76595.0
Palmer Town,Longmeadow,186.0,26.738817578342168,247693.0,81.782338,23.541604,12448,15853,5,0.001221171062224435,5,0.06406298352474717,8,331.7298774215112,2,2,0,0,18,0.020588237717623373,9,0.46315705322548634,58,0.10991998236141273,89,16.35478829061279,3,0.0006087138082922593,0,0.0,0,238.0286771919816,0,0,1,0,5,0.07942569182384317,25,0.6389113450827556,394,0.12960727784314283,208,9.490878606550165,285799.0
Marlborough,Cochituate,165.0,16.203327384116275,117752.0,54.037559,9.864982,41793,6927,42,0.0064563012201589946,7,0.08785429742728115,1,580.0184334768032,3,2,6,3,65,0.5833250897466,33,1.7847637878570703,56,0.28979003025476846,179,20.013553154962057,6,0.0005276921177434734,2,0.0015315595972578483,0,135.94561958136745,0,3,0,0,3,0.0032035655571856616,8,0.27178201488978415,25,0.02016582613863668,33,5.502043856548797,117961.0
Westfield,North Pembroke,77.0,162.7642962495809,4371134.0,119.814349,11.590054,40834,3490,27,0.007934248331804939,13,0.10848001759420593,3,696.0082256867466,1,14,0,1,64,0.06182704501584717,38,1.5465518854729952,389,4.599134292661005,370,27.80275873115648,1,0.0,2,0.024520087023732474,0,81.7857113566247,0,1,0,0,6,0.004878794037599378,2,0.09057351982561612,3,0.0013937860183405413,19,2.1875635818135546,5422194.0
Hull,Barnstable Town,219.0,87.10904582901671,4026564.0,7.437835,155.215093,10072,48916,18,0.0012943597041991984,0,0.0,3,109.43291276795343,0,16,7,1,16,0.012009266216119472,9,0.09009593888328597,45,0.07503656317424806,130,0.8099553272286,79,0.03510825227315783,21,0.13604448717378737,7,1440.8033538135285,1,6,5,3,205,0.40024064585758146,58,1.7591363773703548,952,3.5831587704215795,1070,36.23680065616554,5016308.0
Braintree Town,Falmouth,74.0,79.76511388992108,3967741.0,35.644316,5.407713,39143,3818,42,0.011278168061204729,12,0.13351869769812671,9,433.0148303337197,0,28,7,18,93,0.9167318454080762,39,1.1107640039046416,365,0.5120671446235322,196,20.162913087148155,25,0.003182677030643243,1,0.0015464278487284184,0,121.19512811868918,1,1,1,1,38,0.06584936795149175,9,0.21032298676700623,350,0.1815430501595127,224,0.31498352892286696,4847278.0
Lowell,Braintree Town,611.0,54.77633119484778,2946568.0,35.251105,35.644316,115554,39143,72,0.009519970951700344,11,0.19854189837931216,22,602.332133348925,2,11,2,3,87,0.22356191516487456,127,2.0063368567079625,310,0.712960299528824,375,8.490100078749423,42,0.011278168061204729,12,0.13351869769812671,9,433.0148303337197,0,28,7,18,93,0.9167318454080762,39,1.1107640039046416,365,0.5120671446235322,196,20.162913087148155,4162267.0
Winchester,Marlborough,765.0,35.01344798457648,2826441.0,15.621817,54.037559,22970,41793,24,0.0007363126447692948,12,0.03608099123637666,0,224.68420733080674,0,1,0,0,51,0.01832309866279129,21,0.3420494351363584,133,0.09974691278594587,143,16.2322874654035,42,0.0064563012201589946,7,0.08785429742728115,1,580.0184334768032,3,2,6,3,65,0.5833250897466,33,1.7847637878570703,56,0.28979003025476846,179,20.013553154962057,4037886.0
Rowley,Salem,405.0,24.45534446029133,376677.0,4.439854,21.481052,1523,44480,1,0.0005213853248748917,0,0.0,0,34.29758000577047,0,0,0,0,0,0.0,3,0.0799581008872256,3,0.0015630812814264319,18,0.5284831192429588,66,0.007616527240711532,15,0.22788798341295988,1,391.0481349680951,1,12,2,3,65,0.17051673847342377,53,1.0696362451009807,305,0.21463155563511627,372,4.265256463217767,402789.0
Harwich Center,East Harwich,1543.0,3.404388740033491,4296.0,5.825394,20.772775,1995,5250,2,0.00012605462139698002,0,0.0,0,67.86202893252955,3,0,0,0,3,0.0,7,0.43178831711771615,18,0.02558605744623638,23,1.58138386194417,7,0.0021205695913010083,1,0.0010513043716416407,0,174.454440925296,0,0,0,0,4,0.00190014055400505,5,0.6245584109516,19,0.03978682834465519,52,5.158473237499325,6065.0
Barre,Springfield,589.0,49.42104607863312,581580.0,4.097646,82.542449,1029,155929,0,0.0,0,0.0,0,39.18483464708506,0,0,0,0,0,0.0,3,0.037791149873131376,5,0.003126259174060196,8,2.9556720853269467,59,0.00462868146474279,23,0.4512027131503036,25,1095.5998745271843,3,6,10,6,71,1.0851517933118102,158,3.8730408093241895,661,2.0984998026876527,445,11.522221715225012,489040.0
