name,m,area
Altamont,1675,3.279144
Peekskill,25431,11.251161
Cortland,17556,10.085376
Homer,3210,4.986794
Lewiston,2531,2.840234
Lockport,20876,21.755323
Middleport,1729,2.258057
Niagara Falls,48671,36.482615
Newburgh,28856,9.857747
Port Jervis,8775,6.55221
Head of the Harbor,1520,7.266262
Islandia,3567,5.733949
Lake Grove,11072,7.653845
Massena,10151,11.733827
Canastota,4556,8.649529
Ogdensburg,10064,12.834996
Cazenovia,2767,4.888199
Washingtonville,5657,6.573775
Geneva,12812,10.914565
Hudson Falls,7427,4.82118
Lindenhurst,27148,9.704444
Lloyd Harbor,3571,24.168878
North Haven,1162,6.872636
Old Field,893,5.36035
Hamilton,4107,6.458504
Rome,32127,193.870118
Sherrill,3077,5.986679
Utica,65283,43.310457
Dolgeville,2042,4.637386
Gloversville,15131,13.069249
Johnstown,8204,12.485028
Buffalo,278349,104.577537
Cobleskill,4173,9.232745
Wilson,1247,2.10591
Fulton,11389,10.161074
Oswego,16921,19.720149
Phoenix,2226,3.031723
Pulaski,2186,9.157572
Saratoga Springs,28491,72.687552
Castleton-on-Hudson,1477,1.848304
Nassau,1103,1.809749
Albany,99224,55.435357
Green Island,2934,1.935064
Mamaroneck,20151,8.311614
Mount Kisco,10959,7.877311
Ossining,27551,8.203208
Rensselaer,9210,8.232403
Troy,51401,26.825731
Highland Falls,3684,2.832502
Clyde,2171,5.693176
Potsdam,8312,12.736472
Newark,9017,14.035204
Palmyra,3305,3.488424
Pelham Manor,5752,3.503454
Tarrytown,11860,7.603008
Lancaster,10027,6.989269
East Rochester,6334,3.405735
Honeoye Falls,2706,6.586703
Great Neck,11145,3.430081
Great Neck Plaza,7482,0.806563
Hempstead,59169,9.558962
Hewlett Bay Park,494,0.8743
Island Park,4928,1.151846
Bayville,6748,3.769718
Brookville,2939,10.223878
Spencerport,3685,3.58001
Hillburn,930,5.784799
Mount Vernon,73893,11.377785
Piermont,2517,1.742277
Sloatsburg,3036,6.471761
South Nyack,2699,1.560442
Suffern,11441,5.431424
Upper Nyack,2015,3.165384
New York,8804190,778.178241
Malone,5483,8.078949
East Hampton,1517,12.352035
Greenport,2583,2.460134
Port Jefferson,7962,7.933856
North Tonawanda,30496,26.140446
Scotia,7272,4.372005
Pelham,7326,2.129386
Rye,16592,15.157983
Brockport,7104,5.631325
Fairport,5501,4.091906
Airmont,10166,11.823716
Montebello,4507,11.190593
West Haverstraw,10678,3.932326
Frankfort,2320,2.625522
Herkimer,7234,6.703914
Ilion,7646,6.456618
Hoosick Falls,3216,4.138795
Old Westbury,4289,22.20246
Port Washington North,3160,1.239548
Woodbury,9335,12.969493
Marcellus,1745,1.655581
Patchogue,12408,5.854107
Rockville Centre,26016,8.419755
Roslyn Harbor,1067,3.084042
Sands Point,2712,10.929014
Ellenville,4167,22.51497
Kingston,24069,19.379178
New Paltz,7324,4.562907
Saugerties,3899,4.619269
Sea Cliff,5062,2.887408
Thomaston,2759,1.045477
Valley Stream,40634,9.007439
Westbury,15864,6.069815
Williston Park,7591,1.621989
Ithaca,32108,13.95712
Dunkirk,12743,11.774799
Cohoes,18147,9.771247
Colonie,7781,8.395683
Menands,4554,7.929471
Ravena,3271,3.802021
Lackawanna,19949,16.958231
Atlantic Beach,1707,1.137583
East Williston,2645,1.47285
Great Neck Estates,2990,1.983719
Oyster Bay Cove,2265,10.837156
Plandome,1448,1.275361
Amityville,9500,5.324065
Lawrence,6809,9.628551
Munsey Park,2809,1.336745
Muttontown,3512,15.68754
Babylon,12188,6.243579
Belle Terre,808,2.291699
Bellport,2203,3.755084
Brightwaters,3181,2.500948
Haverstraw,12323,5.138773
Watervliet,10375,3.475039
Rochester,211328,92.6347
Oneida,10329,57.115754
Ballston Spa,5111,4.145396
Corinth,2562,2.762585
Mechanicville,5163,2.172487
Croton-on-Hudson,8327,12.155696
Harrison,28218,43.422937
New Rochelle,79726,26.640882
Port Chester,31693,6.029919
Scarsdale,18253,17.288625
Yonkers,211569,46.63444
North Syracuse,6739,5.145191
Endicott,13667,8.272082
Voorheesville,2841,5.539441
Watertown,24685,23.393545
Auburn,26866,21.588471
Bronxville,6656,2.51865
South Glens Falls,3744,3.518293
Stillwater,1754,3.258267
Victory,666,1.361018
Waterford,2038,0.732551
Chester,3993,5.563811
Cornwall-on-Hudson,3075,5.146045
Fishkill,2166,2.154279
Millbrook,1455,4.816653
Pawling,1995,5.061125
Poughkeepsie,31577,13.324438
Rhinebeck,2697,3.900078
Buchanan,2302,3.666065
Dobbs Ferry,11541,6.27483
Elmsford,5239,2.7371
Hastings-on-Hudson,8590,5.125595
Nelsonville,624,2.677636
Coxsackie,2746,5.620623
Oneonta,13079,11.295615
Middletown,30345,13.741253
Harriman,2714,2.601406
Kiryas Joel,32954,3.785896
Monroe,9343,9.047725
Wappingers Falls,6103,2.90323
White Plains,59559,25.217999
Briarcliff Manor,7569,15.527998
Larchmont,6630,2.838001
Rye Brook,10047,8.879538
Owego,3654,6.599467
New Hartford,1859,1.60384
New York Mills,3244,3.056761
Lansing,3648,11.940517
Glens Falls,14830,9.973637
Hudson,5894,5.588824
Warsaw,3646,10.633987
Ardsley,5079,3.421377
Irvington,6652,7.225673
