residence,workplace,commuters
Altamont,Albany,1213.0
Altamont,Colonie,421.0
Altamont,Voorheesville,223.0
Altamont,Schenectady,544.0
Altamont,East Glenville,99.0
Altamont,Niskayuna,99.0
Altamont,Westmere,1164.0
Peekskill,Mamaroneck,257.0
Peekskill,Mount Kisco,652.0
Peekskill,Ossining,1676.0
Peekskill,Tarrytown,219.0
Peekskill,Mount Vernon,246.0
Peekskill,New York,12440.0
Peekskill,Rye,95.0
Peekskill,Montebello,95.0
Peekskill,Kingston,170.0
Peekskill,Haverstraw,67.0
Peekskill,Rochester,84.0
Peekskill,Croton-on-Hudson,2593.0
Peekskill,Harrison,319.0
Peekskill,New Rochelle,801.0
Peekskill,Port Chester,191.0
Peekskill,Scarsdale,56.0
Peekskill,Yonkers,3410.0
Peekskill,Fishkill,135.0
Peekskill,Buchanan,842.0
Peekskill,Dobbs Ferry,371.0
Peekskill,Elmsford,95.0
Peekskill,Hastings-on-Hudson,67.0
Peekskill,Nelsonville,236.0
Peekskill,Harriman,190.0
Peekskill,Kiryas Joel,84.0
Peekskill,Monroe,67.0
Peekskill,Wappingers Falls,179.0
Peekskill,White Plains,2584.0
Peekskill,Briarcliff Manor,589.0
Peekskill,Ardsley,297.0
Peekskill,Irvington,135.0
Peekskill,Brentwood,67.0
Peekskill,Crugers,584.0
Peekskill,Eastchester,56.0
Peekskill,Gardnertown,84.0
Peekskill,Armonk,68.0
Peekskill,Blauvelt,68.0
Peekskill,Greenville,67.0
Peekskill,Hawthorne,302.0
Peekskill,Jefferson Valley-Yorktown,1374.0
Peekskill,Lake Carmel,68.0
Peekskill,Mahopac,84.0
Peekskill,Mechanicstown,56.0
Peekskill,Myers Corner,67.0
Peekskill,Highland,67.0
Peekskill,Montrose,1401.0
Peekskill,Pine Plains,56.0
Peekskill,Putnam Lake,84.0
Peekskill,Stony Point,235.0
Peekskill,Thornwood,153.0
Peekskill,University at Buffalo,67.0
Peekskill,Valhalla,123.0
Peekskill,West Point,163.0
Cortland,Homer,2002.0
Cortland,Hamilton,80.0
Cortland,Rome,128.0
Cortland,Utica,80.0
Cortland,Buffalo,397.0
Cortland,Oswego,169.0
Cortland,Pulaski,51.0
Cortland,Mamaroneck,70.0
Cortland,New York,1137.0
Cortland,Ithaca,589.0
Cortland,Rochester,80.0
Cortland,Harrison,70.0
Cortland,Endicott,287.0
Cortland,Auburn,51.0
Cortland,Fishkill,51.0
Cortland,Monroe,51.0
Cortland,Lansing,1191.0
Cortland,Syracuse,2394.0
Cortland,Long Beach,118.0
Cortland,Corning,51.0
