name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Jefferson Valley-Yorktown,Heritage Hills,87.0,8.604704893627046,14828.0,18.023643,4.833175,14444,4511,0,0.0,0,0.0,0,180.3843802171537,0,0,0,0,3,0.03444207595182663,19,0.02461126113640838,38,0.10028203203454307,19,1.8091005541915917,0,0.0,0,0.0,1,49.38675489688675,0,0,0,0,0,0.0,0,0.0,1,0.0009055978766107835,0,0.0,554.0
Coram,Syosset,401.0,42.363683594881785,1431584.0,35.809365,12.885287,40220,19259,6,0.0032874915542804683,1,0.0,2,547.0273644032447,1,14,4,0,207,0.572902500633107,10,0.727504601622461,40,0.12374432162847897,64,4.598834767280623,28,0.006818497623690745,10,0.03686131797787823,4,244.5010567710661,0,18,16,3,255,0.6785542904525058,35,0.682843484723725,41,0.16510326559804725,65,0.6254370646996262,4032785.0
Islip,Garden City,508.0,36.177390769297666,2047849.0,12.292964,13.799905,18418,23272,17,0.0017100585258088578,1,0.0,3,208.96852566885613,0,9,3,0,189,0.3599941483736832,11,0.4378830819138704,33,0.02569119265822586,33,1.105484772524098,7,0.0002077599418102825,12,0.0008274875561928937,9,260.0929325582118,0,21,13,8,69,3.5990268538173704,60,0.7801909363918221,211,0.5042701535004881,171,2.471141105135618,7720250.0
Franklin Square,Huntington Bay,64.0,31.783607001882828,10911308.0,7.458918,2.585393,30903,1446,47,0.002913443928161326,26,0.002877730369816367,1,119.25726434187064,0,4,3,1,153,0.9898199058651556,16,0.2628168320478534,111,0.11174705509492243,96,0.832656019798146,0,0.0,0,0.0,0,33.28962406325028,0,1,0,0,2,0.0007752099486686209,0,0.0,1,0.0019032041537201162,8,0.2823261746682891,12049922.0
Kings Park,Copiague,111.0,27.087126270398393,1289844.0,17.279484,8.008831,17085,23429,5,0.00030056027978503114,3,0.020315410532493906,3,314.3681083480819,0,5,3,0,138,0.26491111956701835,12,0.4574812321975727,73,0.26496581276117803,62,9.037009704338889,1,0.0,0,0.0,2,205.55250554963095,0,13,0,0,360,0.2664502381402739,8,0.26988811058692547,29,0.12534225180784173,45,0.7482834024409812,4055938.0
Gilgo,Oceanside,114.0,21.430007709189645,1099660.0,12.999547,12.76854,185,32637,0,0.0,0,0.0,0,68.62437217722366,0,1,0,0,0,0.0,0,0.0,8,0.07588629622075956,23,8.065599005297955,47,0.002725892824278052,20,0.10944871283347346,5,176.55702824249929,0,28,14,4,135,1.2161943349019566,23,0.5463491684433334,101,0.155439358163484,105,1.055985372994747,4531471.0
New Rochelle,West Babylon,97.0,42.38458724025216,11420394.0,26.640882,21.898761,79726,43213,34,0.006741961512005621,3,0.07110363030611612,1,391.1134068910734,3,5,0,0,25,0.0768730401182367,47,0.2026055690893772,73,0.17001754340162245,165,3.505387624628138,5,0.0,2,0.0,6,447.1482276994565,0,15,2,0,740,1.175098675163144,24,0.6044313324693871,19,0.05588757993096219,79,3.754925029888387,12959607.0
Irvington,Hastings-on-Hudson,321.0,5.275612727635908,36236.0,7.225673,5.125595,6652,8590,1,0.0005460394783798583,0,0.0,0,94.45520947160735,0,0,0,0,11,0.013929800882690739,20,0.359551548218737,42,0.04589182093581952,57,2.7087146673322287,12,0.0024851841378014127,0,0.0,0,117.08657090721658,1,63,8,1,16,0.03131583457925484,10,0.058857756147964256,41,0.039301084004762156,95,1.1426959464051134,104382.0
Alden,Buffalo,1329.0,29.74813635862781,235206.0,7.040219,104.577537,2604,278349,3,0.0,0,0.0,0,32.5926970327171,0,0,0,0,6,0.0,5,0.15378872261483884,15,0.06156564245414809,15,0.25859507062904924,354,0.035935179604209305,72,1.2472301261170664,41,1455.9824930371249,0,57,34,4,865,1.175022455538334,326,6.955491303495463,998,2.0867507492449002,1142,30.949362152167247,411879.0
Lynbrook,Great Neck,106.0,16.8151015944106,966662.0,5.21322,3.430081,20438,11145,53,0.002608020686863542,34,0.004956144653237939,2,108.78949243668487,0,19,12,2,154,1.0603499345901155,14,0.10623310749474954,183,0.15243919258564056,77,0.5857009212934501,11,0.0007984620033726384,2,0.0,0,58.9097867620826,0,88,7,6,110,0.18277169555411443,20,0.6115454299977287,34,0.08043313278737411,41,1.0272472249724691,4725926.0
West Point,Peekskill,76.0,11.443822642783168,15773.0,47.746843,11.251161,7341,25431,0,0.0,0,0.0,0,198.09995820499734,1,0,0,0,5,0.015523354882619418,11,0.023609323232461687,16,0.08788796978739356,67,197.2844754174149,6,0.0003629042504511928,3,0.09384808796234359,1,156.42344846324806,0,13,0,0,12,0.03056660547872964,20,0.024962515810374026,53,0.03928656292707361,56,51.22815051328111,37432.0
Greece,Syosset,83.0,437.27486554193445,13456852.0,11.326697,12.885287,14429,19259,25,0.005292177987841342,4,0.003218210828025919,1,131.4054571858284,0,0,8,1,106,0.6696784863812787,9,0.28991824959330215,66,0.4844768721184048,24,3.3295491501771557,28,0.006818497623690745,10,0.03686131797787823,4,244.5010567710661,0,18,16,3,255,0.6785542904525058,35,0.682843484723725,41,0.16510326559804725,65,0.6254370646996262,10853633.0
Lancaster,Alden,30.0,14.188283484941678,170838.0,6.989269,7.040219,10027,2604,10,0.004451624779944786,1,0.0010726034966734362,6,77.61687787278393,0,13,1,0,11,0.056384743932566386,13,0.25195674395610573,64,0.08085236726829749,34,1.1481560105771336,3,0.0,0,0.0,0,32.5926970327171,0,0,0,0,6,0.0,5,0.15378872261483884,15,0.06156564245414809,15,0.25859507062904924,358894.0
Rochester,New York,5978.0,412.65620643538483,3892310.0,92.6347,778.178241,211328,8804190,308,0.048486171086223766,134,0.9893970703068826,18,1544.3593140447992,0,61,8,30,387,0.7722765287578837,254,3.380817392817799,1061,7.410787551322064,845,19.621203365454164,12832,0.33159795754931726,2916,5.0703141271096275,195,16627.78033715178,27,982,123,130,17514,8.584820229926098,3764,16.395125376325005,62514,45.81133340650127,27429,182.165174207091,4729036.0
Jericho,Oceanside,112.0,18.985575048080314,1484705.0,10.261294,12.76854,14808,32637,12,0.005058562459197179,1,0.0,3,223.32766094994543,0,21,12,4,161,0.8461675322649269,19,2.9792042288172946,24,0.383170329460152,91,1.966990263014327,47,0.002725892824278052,20,0.10944871283347346,5,176.55702824249929,0,28,14,4,135,1.2161943349019566,23,0.5463491684433334,101,0.155439358163484,105,1.055985372994747,7027075.0
Rockville Centre,East Meadow,1655.0,9.136398973769676,613135.0,8.419755,16.324393,26016,37796,68,0.002775695594833765,20,0.27523780417375937,3,185.46682318761228,0,19,11,3,119,1.378861576470276,39,0.3867755992638896,184,0.2535042139541595,139,3.3430206402603213,31,0.004467127971817734,10,0.20820462378450083,0,285.6108327147847,0,42,18,4,151,1.063084115489907,27,0.5456784994458993,143,0.4757162447838623,264,6.860017117780211,2657647.0
Mount Vernon,Roslyn Harbor,80.0,19.499389395542334,719461.0,11.377785,3.084042,73893,1067,10,0.0,5,0.01450668802771503,1,191.06613815280662,0,5,0,0,16,0.017036060109810958,27,0.06399073392725182,83,0.09215561186458406,74,0.5180729497598398,0,0.0,0,0.0,0,36.41592015193159,0,21,4,1,6,0.158370240137425,0,0.0,19,0.030811044679766322,31,1.2743573417164442,2082540.0
