residence,workplace,commuters
Spring Valley Village,Stafford,52.0
Spring Valley Village,Hedwig Village,7716.0
Spring Valley Village,Hunters Creek Village,489.0
Spring Valley Village,Piney Point Village,238.0
Spring Valley Village,Sugar Land,52.0
Spring Valley Village,Llano,105.0
Spring Valley Village,Tomball,157.0
Spring Valley Village,San Antonio,52.0
Spring Valley Village,Brenham,66.0
Spring Valley Village,College Station,156.0
Spring Valley Village,Waco,52.0
Spring Valley Village,Bunker Hill Village,198.0
Spring Valley Village,Beaumont,52.0
Spring Valley Village,Missouri City,52.0
Spring Valley Village,Richardson,52.0
Spring Valley Village,Bellaire,156.0
Spring Valley Village,Houston,22072.0
Spring Valley Village,The Woodlands,157.0
Stafford,Spring Valley Village,135.0
Stafford,Fairfield,27.0
Stafford,West University Place,79.0
Stafford,Hedwig Village,159.0
Stafford,Richmond,110.0
Stafford,Rosenberg,139.0
Stafford,Sugar Land,8336.0
Stafford,Freeport,27.0
Stafford,Alvin,166.0
Stafford,Sherman,112.0
Stafford,Southside Place,27.0
Stafford,Webster,192.0
Stafford,Pasadena,374.0
Stafford,San Antonio,56.0
Stafford,Texas City,159.0
Stafford,Palestine,79.0
Stafford,Lewisville,27.0
Stafford,Bay City,56.0
Stafford,Dickinson,27.0
Stafford,Meadows Place,645.0
Stafford,Seabrook,79.0
Stafford,Deer Park,27.0
Stafford,Corpus Christi,139.0
Stafford,Austin,56.0
Stafford,Beaumont,27.0
Stafford,Missouri City,4728.0
Stafford,Pearland,56.0
Stafford,Galveston,248.0
Stafford,Fort Worth,56.0
Stafford,La Porte,99.0
Stafford,Bellaire,250.0
Stafford,Houston,11264.0
Stafford,Aldine,56.0
Stafford,Four Corners,269.0
Stafford,Mission Bend,341.0
Stafford,Pecan Grove,79.0
Stafford,The Woodlands,109.0
Kingsville,Bishop,278.0
Kingsville,Georgetown,138.0
Kingsville,Falfurrias,69.0
Kingsville,Alice,295.0
Kingsville,Portland,69.0
Kingsville,Corpus Christi,2981.0
Kingsville,Laredo,69.0
Kingsville,Beeville,69.0
Kingsville,Houston,69.0
Kingsville,Rancho Alegre,139.0
Colleyville,Frisco,467.0
Colleyville,Double Oak,101.0
Colleyville,Duncanville,45.0
Colleyville,Farmers Branch,534.0
Colleyville,Irving,2413.0
Colleyville,Lancaster,45.0
Colleyville,Abilene,90.0
Colleyville,Copper Canyon,45.0
Colleyville,Greenville,53.0
Colleyville,Mansfield,101.0
Colleyville,Highland Park,196.0
Colleyville,Georgetown,66.0
Colleyville,San Angelo,106.0
Colleyville,Garland,98.0
Colleyville,Mineral Wells,53.0
Colleyville,Weatherford,45.0
Colleyville,Watauga,207.0
Colleyville,Lorena,66.0
Colleyville,Keller,204.0
Colleyville,San Antonio,101.0
Colleyville,Flower Mound,303.0
Colleyville,The Colony,56.0
Colleyville,Carrollton,1451.0
Colleyville,Lewisville,418.0
Colleyville,Denton,143.0
Colleyville,Southlake,2131.0
Colleyville,Coppell,297.0
Colleyville,Hebron,45.0
Colleyville,Plano,704.0
Colleyville,Arlington,1902.0
Colleyville,North Richland Hills,3494.0
Colleyville,Tyler,45.0
Colleyville,Rockwall,90.0
Colleyville,Hillsboro,53.0
Colleyville,College Station,146.0
Colleyville,Forest Hill,45.0
Colleyville,Bedford,8366.0
Colleyville,Euless,8198.0
Colleyville,Stephenville,45.0
Colleyville,Waco,56.0
Colleyville,McKinney,101.0
Colleyville,Mount Vernon,56.0
Colleyville,Richland Hills,66.0
Colleyville,Hurst,7816.0
Colleyville,Haltom City,112.0
Colleyville,Boerne,45.0
Colleyville,Austin,45.0
Colleyville,Cedar Hill,157.0
Colleyville,Grand Prairie,109.0
Colleyville,Amarillo,45.0
Colleyville,Galveston,53.0
Colleyville,Dallas,5157.0
Colleyville,Richardson,98.0
Colleyville,Grapevine,10292.0
Colleyville,Fort Worth,1666.0
Colleyville,DeSoto,45.0
Colleyville,University Park,211.0
Colleyville,Addison,212.0
Colleyville,Houston,180.0
Del Rio,Balcones Heights,80.0
Del Rio,Eagle Pass,1577.0
Del Rio,Jersey Village,120.0
Del Rio,Comanche,94.0
Del Rio,Brady,254.0
Del Rio,Uvalde,253.0
Del Rio,San Angelo,390.0
Del Rio,Pasadena,120.0
Del Rio,San Antonio,2141.0
Del Rio,Texas City,241.0
Del Rio,Arlington,267.0
Del Rio,Brenham,120.0
Del Rio,New London,93.0
Del Rio,New Braunfels,213.0
Del Rio,Schertz,80.0
Del Rio,Galveston,360.0
Del Rio,Laredo,266.0
Del Rio,Midland,601.0
Del Rio,Houston,240.0
Del Rio,Cienegas Terrace,5966.0
Temple,Irving,24.0
Temple,Georgetown,24.0
Temple,Marlin,71.0
Temple,Rockdale,54.0
Temple,Plainview,31.0
Temple,Round Rock,125.0
Temple,Corsicana,53.0
Temple,Granbury,71.0
Temple,Bellmead,53.0
Temple,Lorena,71.0
Temple,San Antonio,255.0
Temple,Arlington,103.0
Temple,West Lake Hills,53.0
Temple,Hillsboro,53.0
Temple,College Station,103.0
Temple,Killeen,1100.0
