name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Rendon,Kennedale,458.0,7.376479185707182,6154.0,63.794052,17.117502,13533,8517,5,0.0012608999556459335,0,0.0,0,374.55920387877404,0,0,0,0,2,0.0008695521323984994,4,0.11122934934856368,3,0.0,1,0.0454101424344979,1,0.00043316162687991576,0,0.0,2,165.50968930025243,0,2,1,0,4,0.089567795056134,7,0.3923573429136961,4,0.006850187384508661,33,0.43928050625986925,5285.0
Grand Prairie,Weatherford,73.0,70.66476110303961,6358237.0,187.802276,70.732401,196100,30854,116,0.24290632358361697,24,0.10007663421964214,54,1950.8582779418498,2,27172,52,44,395,2.838031644753005,122,3.5231956757096032,358,2.0642973211779867,227,29.426269826276574,42,0.01178050307242291,3,0.0006064509765499162,8,869.0971055731834,0,82,25,17,105,1.8533259297249276,20,0.9197147858229464,31,0.18658559825635146,55,1.2284251697322173,8342659.0
McKinney,Whitehouse,52.0,173.491171906215,6911540.0,173.43321,14.233861,195308,8257,130,0.02178518553484953,32,0.4252137101586553,13,2201.1392575303544,3,154,41,36,519,3.3853331508622944,123,3.6720152340620427,598,5.450432204210672,476,15.113508829949279,8,0.0011702027941120163,2,0.0,0,116.7036150187542,0,3,0,0,6,0.01283128552381257,15,0.6263256081634634,3,0.02637490622089265,33,0.19325197832931224,8644967.0
Hebron,Denton,175.0,30.380602875812688,3614099.0,0.851639,250.652062,803,139869,34,0.004724569671347146,10,0.10324436278547941,1,483.43910919985194,0,61,22,11,88,1.3613564072758606,27,1.1349696290741886,92,0.48142841734792374,80,3.2138435483854533,129,0.02172275971689796,84,1.2069467672849894,19,1730.0655230803154,0,150,21,5,259,2.7891427945858567,128,5.231967936245321,534,4.3213147589907095,578,8.086230772031254,5569669.0
Temple,Plainview,31.0,531.1791411090003,18441149.0,185.196036,35.987805,82073,20187,23,0.0068036331523081,1,0.0014027860270835531,8,927.4531796256763,5,15,1,5,30,0.18734750994162802,19,0.21174559150402725,57,2.4989415772958186,81,4.951523606576239,25,0.0075245409077373,5,0.051208348806778464,4,471.9667896408573,0,3,4,0,54,0.2587112080810476,43,0.63542794453138,29,2.3480658684973816,67,1.8497478831677976,14969457.0
Frisco,The Colony,3458.0,10.495718522169383,76627.0,177.773397,36.283966,200509,44534,155,0.0418150396179014,55,0.30866449300942594,5,2457.645041142269,2,130,43,25,454,5.629460392618001,144,6.636099435920566,481,2.4464818126264047,683,14.51669924977065,36,0.01996335062930613,5,0.0028426171074585616,2,544.9960733397659,0,46,32,4,80,3.851902773609864,24,0.9191617778699039,92,0.44169212351780357,158,12.03334058507313,43764.0
Whitehouse,The Colony,61.0,184.7384132474355,4664842.0,14.233861,36.283966,8257,44534,8,0.0011702027941120163,2,0.0,0,116.7036150187542,0,3,0,0,6,0.01283128552381257,15,0.6263256081634634,3,0.02637490622089265,33,0.19325197832931224,36,0.01996335062930613,5,0.0028426171074585616,2,544.9960733397659,0,46,32,4,80,3.851902773609864,24,0.9191617778699039,92,0.44169212351780357,158,12.03334058507313,5304073.0
Pittsburg,Kaufman,70.0,134.74324324259794,549500.0,9.327602,23.449638,4335,6797,6,0.0009202942674371676,1,0.0,1,117.451904713433,0,3,0,0,65,0.04766228529121932,17,0.4103250258159416,10,0.0216598583560256,49,0.6240057912522073,21,0.004753958556996739,5,0.08118567625862559,1,247.4860140803676,0,3,4,1,35,0.1494826320047828,9,0.3147798362065281,3,0.00023428327494775495,37,0.4732195245355492,299861.0
The Colony,Irving,1015.0,26.51980620241687,1687943.0,36.283966,173.474996,44534,256684,36,0.01996335062930613,5,0.0028426171074585616,2,544.9960733397659,0,46,32,4,80,3.851902773609864,24,0.9191617778699039,92,0.44169212351780357,158,12.03334058507313,197,0.05364389666381306,34,0.32884129086150315,48,2540.717647694282,5,235,70,66,628,3.951529217366318,184,5.421412591866186,756,15.485352319923262,575,27.793871258865483,2925143.0
Lancaster,Eagle Pass,41.0,558.897698331425,18416929.0,85.631457,24.399355,41275,28130,12,0.003349765511944785,4,0.07970552022841675,31,602.3787662780043,1,11711,25,4,69,0.5402460799557463,39,2.222687426456059,39,1.1698383921455666,59,1.7616780852146234,23,0.0047875387401941525,4,0.08993545578441312,3,246.6069128055181,0,0,3,9,29,0.3828657962421776,27,0.35549986070590006,64,0.1123680298125768,130,1.4868491621813704,15006275.0
