residence,workplace,commuters
Clarkston,Pullman,61.0
Clarkston,Spokane Valley,581.0
Clarkston,Spokane,514.0
Clarkston,SeaTac,184.0
Clarkston,Cheney,61.0
Clarkston,West Clarkston-Highland,1165.0
Vancouver,Kennewick,262.0
Vancouver,Richland,63.0
Vancouver,Centralia,223.0
Vancouver,Everett,486.0
Vancouver,Lacey,231.0
Vancouver,Olympia,186.0
Vancouver,Mill Creek,429.0
Vancouver,Seattle,886.0
Vancouver,Woodinville,71.0
Vancouver,Lake Forest Park,85.0
Vancouver,Tukwila,591.0
Vancouver,Colville,66.0
Vancouver,Rock Island,73.0
Vancouver,Bonney Lake,64.0
Vancouver,Lakewood,205.0
Vancouver,Tacoma,755.0
Vancouver,Long Beach,622.0
Vancouver,Spokane,359.0
Vancouver,Auburn,413.0
Vancouver,Bellevue,243.0
Vancouver,Covington,59.0
Vancouver,Federal Way,522.0
Vancouver,Issaquah,63.0
Vancouver,Redmond,158.0
Vancouver,Renton,63.0
Vancouver,SeaTac,950.0
Vancouver,Shoreline,77.0
Vancouver,Port Angeles,87.0
Vancouver,Algona,60.0
Vancouver,Kent,789.0
Vancouver,Maple Valley,68.0
Vancouver,Millwood,52.0
Vancouver,Bellingham,152.0
Vancouver,Puyallup,144.0
Vancouver,Toppenish,77.0
Vancouver,Sumner,66.0
Vancouver,Lake Stevens,63.0
Vancouver,Lynnwood,63.0
Vancouver,Marysville,126.0
Vancouver,Bremerton,207.0
Vancouver,Union Gap,47.0
Vancouver,Yakima,84.0
Vancouver,Kelso,1127.0
Vancouver,Longview,1765.0
Vancouver,Washougal,1584.0
Vancouver,Battle Ground,4347.0
Vancouver,Camas,33499.0
Vancouver,Boulevard Park,165.0
Vancouver,Brush Prairie,2053.0
Vancouver,Clover Creek,63.0
Vancouver,Duluth,183.0
Vancouver,Eastmont,85.0
Vancouver,Felida,656.0
Vancouver,Finley,52.0
Vancouver,Five Corners,10403.0
Vancouver,Fords Prairie,607.0
Vancouver,Hazel Dell,36611.0
Vancouver,Hockinson,379.0
Vancouver,Lake Shore,2012.0
Vancouver,Lake Stickney,114.0
Vancouver,Lewisville,136.0
Vancouver,Meadow Glade,1988.0
Vancouver,Minnehaha,3229.0
Vancouver,Mount Vista,12401.0
Vancouver,North Lynnwood,242.0
Vancouver,Orchards,13647.0
Vancouver,Parkland,330.0
Vancouver,Prairie Ridge,128.0
Vancouver,Salmon Creek,7514.0
Vancouver,Silverdale,73.0
Vancouver,South Hill,196.0
Vancouver,Tanglewilde,64.0
Vancouver,Terrace Heights,66.0
Vancouver,Waller,63.0
Othello,Kennewick,2732.0
Othello,Richland,445.0
Othello,Pasco,904.0
Othello,East Wenatchee,321.0
Othello,Tacoma,221.0
Othello,Spokane,484.0
Othello,Federal Way,98.0
Kennewick,Vancouver,164.0
Kennewick,Othello,482.0
Kennewick,Richland,8142.0
Kennewick,Walla Walla,73.0
Kennewick,West Richland,633.0
Kennewick,Pasco,6486.0
Kennewick,Everett,39.0
Kennewick,Seattle,376.0
Kennewick,Pullman,74.0
Kennewick,North Bend,39.0
Kennewick,Burien,39.0
Kennewick,Tukwila,138.0
Kennewick,Spokane Valley,73.0
Kennewick,Airway Heights,358.0
Kennewick,East Wenatchee,73.0
Kennewick,Tacoma,147.0
Kennewick,Orting,73.0
Kennewick,Spokane,1149.0
Kennewick,Federal Way,294.0
Kennewick,SeaTac,473.0
Kennewick,Kent,78.0
Kennewick,Cheney,78.0
Kennewick,Toppenish,68.0
Kennewick,Bothell,78.0
Kennewick,Union Gap,418.0
Kennewick,Yakima,538.0
Kennewick,Grandview,142.0
Kennewick,Selah,94.0
Kennewick,Country Homes,78.0
Kennewick,Finley,477.0
Kennewick,Terrace Heights,266.0
Richland,Kennewick,20126.0
Richland,West Richland,1308.0
Richland,Pasco,4264.0
Richland,Seattle,316.0
Richland,Pullman,632.0
Richland,North Bend,111.0
Richland,Spokane Valley,136.0
Richland,Airway Heights,111.0
Richland,Tacoma,111.0
Richland,Spokane,186.0
Richland,Bellevue,75.0
Richland,Federal Way,179.0
Richland,Issaquah,150.0
Richland,SeaTac,222.0
Richland,Edmonds,68.0
Richland,Union Gap,724.0
Richland,Yakima,186.0
Richland,Finley,212.0
Walla Walla,Kennewick,192.0
Walla Walla,Pasco,288.0
Walla Walla,SeaTac,144.0
West Richland,Clarkston,78.0
West Richland,Othello,292.0
West Richland,Kennewick,12648.0
West Richland,Richland,10075.0
West Richland,Pasco,3897.0
West Richland,Everett,183.0
West Richland,Seattle,61.0
West Richland,Pullman,195.0
West Richland,North Bend,194.0
West Richland,Tukwila,52.0
West Richland,East Wenatchee,61.0
West Richland,Tacoma,61.0
West Richland,Spokane,384.0
West Richland,Bellevue,61.0
West Richland,Federal Way,113.0
West Richland,SeaTac,219.0
West Richland,Sultan,61.0
West Richland,Kirkland,157.0
West Richland,Marysville,61.0
West Richland,Union Gap,234.0
West Richland,Yakima,246.0
West Richland,Selah,52.0
West Richland,Finley,124.0
West Richland,Larch Way,61.0
West Richland,Terrace Heights,144.0
West Richland,West Clarkston-Highland,52.0
Tumwater,Centralia,72.0
Tumwater,Everett,307.0
Tumwater,Lacey,2350.0
Tumwater,Olympia,15809.0
Tumwater,Mill Creek,72.0
Tumwater,Seattle,216.0
Tumwater,Tukwila,401.0
Tumwater,Spokane Valley,72.0
Tumwater,Anacortes,144.0
Tumwater,Lakewood,435.0
Tumwater,Tacoma,2030.0
Tumwater,University Place,72.0
Tumwater,Auburn,145.0
Tumwater,Bellevue,144.0
Tumwater,Federal Way,217.0
Tumwater,SeaTac,218.0
Tumwater,Shoreline,72.0
