name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d,sk
Shadow Lake,Covington,477.0,4.950706257626694,3873.0,13.452461,15.363374,2396,20777,0,0.0,0,0.0,3,123.03396493597596,0,8,0,1,3,0.0,4,0.27242466805076665,9,0.004719910146765029,22,0.9888994219308754,50,0.005562247146136097,39,0.050207902208271274,12,195.64933869549773,0,94,12,20,114,0.5168303614065745,19,0.7064346726779398,66,0.15196339847138796,192,4.445975761157206,1194.0
Monroe North,Chain Lake,204.0,2.165625222626956,0.0,6.149309,28.246478,1796,4806,0,0.0,0,0.0,0,68.72380229020882,0,5,0,0,0,0.0,0,0.0,16,0.27065571971044033,27,0.2722631764330583,0,0.0,0,0.0,0,214.333556732998,0,6,0,1,0,0.0,2,0.048229917694472824,1,0.003793135728512249,3,0.555189974056984,0.0
Lake Cassidy,Monroe North,529.0,21.538320630138042,292368.0,27.429267,6.149309,3757,1796,2,1.2173944522705388e-05,0,0.0,0,167.23901541108788,0,1,0,0,1,0.0007099534354711766,0,0.0,9,0.0044121428065737826,17,1.0122666907579783,0,0.0,0,0.0,0,68.72380229020882,0,5,0,0,0,0.0,0,0.0,16,0.27065571971044033,27,0.2722631764330583,559359.0
Woods Creek,Burlington,88.0,72.71377705030923,3088011.0,36.347083,11.087338,6017,9152,2,0.0,0,0.0,0,206.19950744832198,0,0,0,0,0,0.0,0,0.0,5,0.005045353379137616,9,0.17016869482291608,66,0.011051588563129025,7,0.0025349695644796034,6,255.7782673263346,0,10,9,6,144,0.7308402775049407,12,0.12224066202767515,163,0.4252018243032611,40,0.7747973272921769,5166074.0
Redmond,Olympia,137.0,92.03688551032599,3990120.0,42.908263,47.191176,73256,55605,196,0.020614684628946185,52,0.009099640180732844,7,970.4172440950357,0,153,18,33,419,1.5269863034154028,58,0.7759857736895831,1369,1.1617387596035516,1559,11.763025486691125,191,0.01877527140826331,24,0.35088023022688325,7,945.1641370681522,0,103,4,13,330,0.5683035207514484,84,1.4440984511170825,3486,0.6755931634214246,1849,4.615586920215523,7027940.0
West Richland,North Bend,194.0,223.07603583218335,1009779.0,57.278126,11.26123,16295,7461,12,0.0006882372284283281,5,0.000918702024141039,1,332.2919942282779,0,116,3,25,21,0.25656130223177015,22,0.4898669564692111,138,0.14883597306095386,130,1.482609771465435,37,0.004234355494921665,4,0.0017495973234986169,5,168.62580216441174,0,10,4,4,79,0.3613772782412398,16,0.13426784979073267,55,0.24772478139547055,75,3.6325001361780385,622908.0
Key Center,Marysville,86.0,94.69689567800808,4018674.0,37.880619,53.751151,3863,70714,4,0.0003581875944112376,0,0.0,0,175.84217283528764,0,0,1,0,8,0.012604991530127561,1,0.0,3,0.0022125459717376814,6,0.0035083089889762194,106,0.011492092323545217,31,0.007429288186373532,7,599.966289280694,0,25,24,8,510,1.134633161040996,85,1.3743370922997669,397,0.8203528938854212,244,2.2821649619997535,7137570.0
Bremerton,Port Orchard,2224.0,6.353906038227653,2759.0,73.632931,24.977826,43505,15587,113,0.0228827602022047,13,0.02790360196230972,4,544.5232454398224,0,35,15,12,243,0.6401442659235685,38,0.5355064470075431,332,1.9573925430248387,209,5.714154850417852,48,0.005028857818739745,16,0.029642937717889825,2,231.7938753637628,0,84,18,37,140,0.6909228103381615,10,0.10166842593581031,79,0.09457630552792923,70,4.509576689040862,14476.0
Kapowsin,Lakeland North,84.0,41.26957966673498,1007709.0,10.67056,8.40599,372,13663,1,0.0,0,0.0,0,81.51492266476612,0,0,0,0,0,0.0,0,0.0,3,0.0008275226582410864,2,0.0,1,0.0004357376051751182,0,0.0,1,92.32520908896541,0,34,0,3,3,0.0009068846889371656,9,0.3776349752808885,13,0.01601257552087888,62,0.15068792597376304,2147113.0
Browns Point,Tukwila,511.0,22.68799596472673,1069375.0,1.052624,23.788091,1263,21798,0,0.0,0,0.0,0,19.429598349231586,0,4,0,1,0,0.0,0,0.0,2,0.0022947389524606873,21,0.038094986409853045,155,0.02835540660955934,35,0.027487028448964883,44,484.5805353147317,0,133,17,67,399,1.4092497776535124,12,0.27125499369567174,452,3.8889713265736847,200,1.5739791726981567,2583809.0
Kirkland,Aberdeen,104.0,145.26761737505242,4315773.0,46.117521,28.159834,92175,17013,219,0.013532557833794435,94,0.14372513523562325,6,808.964524624679,0,87,40,42,405,0.8650220199071509,81,1.7680609354332062,1071,0.9675998550717594,524,5.951068735130408,9,0.0,1,0.0008129058246597495,13,166.27348389051252,1,2,1,0,18,0.03246349214499439,7,0.5445114764123371,35,0.10900981781078363,46,1.1483228939061405,7178767.0
Maple Valley,Newcastle,115.0,20.768187029773767,483885.0,15.551308,11.522379,28013,13017,69,0.04795666067883704,57,0.023472583072897086,24,251.75639627135777,0,149,14,19,222,0.45728794492915803,22,0.4214525477927181,212,0.11499459456392257,414,7.894184468583406,18,0.0017730287727979722,8,0.0012254028228558306,1,160.7525998468744,0,25,1,0,23,0.09951723627167677,8,0.13398836766783653,51,0.06767712736712457,64,12.614997056164812,506377.0
SeaTac,Tukwila,25577.0,4.030536986600901,6771.0,26.066425,23.788091,31454,21798,100,0.014692164799706451,4,0.0,24,483.42504264454277,0,348,13,44,126,0.11689306953651538,30,0.4483625390566874,693,8.55539677239393,242,1.8214120243659058,155,0.02835540660955934,35,0.027487028448964883,44,484.5805353147317,0,133,17,67,399,1.4092497776535124,12,0.27125499369567174,452,3.8889713265736847,200,1.5739791726981567,9695.0
Puyallup,Union Gap,85.0,153.2677677160132,4432459.0,36.610495,14.443742,42973,6568,146,0.029503335570376297,78,0.18803193910204946,21,663.0396133662008,1,162,47,41,448,2.531327866199702,55,1.1548879718800216,190,0.4967884118173655,343,2.1939512537522474,19,0.0042041823285034,1,0.0,30,121.49344252704729,0,12,6,11,80,0.42621772547273035,4,0.23230575435341683,6,0.089413232318783,38,0.7741021577845498,7204722.0
High Bridge,Nisqually Indian Community,78.0,98.9245984519845,4015709.0,18.06147,7.904915,3140,668,0,0.0,0,0.0,0,116.3270127417861,0,1,0,0,0,0.0,0,0.0,5,0.00137690128578113,4,0.0009824312690139073,0,0.0,0,0.0,0,43.87358617523727,0,0,0,0,5,0.0011896068891840603,2,0.0007502479820720685,4,0.016098689978152562,3,0.02136661738962844,7122069.0
Buckley,Auburn,1269.0,21.28117632087607,216597.0,9.997404,76.604169,5114,87256,16,0.0009062902003014156,8,0.3597341391857288,9,95.93548627292998,0,30,3,4,34,0.036827974925100634,13,0.22527560177851735,15,0.020592308011088335,38,0.10999968686594012,113,0.013644275694523249,52,0.06287125922879466,87,693.2535752429545,0,363,22,141,355,0.7619348128437782,79,2.1331038583696196,277,1.2555805525750783,402,14.166441896665457,668194.0
Alderton,Olympia,131.0,53.09357166821996,2764320.0,14.817407,47.191176,3274,55605,1,0.0,0,0.0,3,96.44005839274178,0,10,1,1,2,0.05474215087644268,1,0.038095294593148976,2,0.0008547008342458763,4,0.2532422116916585,191,0.01877527140826331,24,0.35088023022688325,7,945.1641370681522,0,103,4,13,330,0.5683035207514484,84,1.4440984511170825,3486,0.6755931634214246,1849,4.615586920215523,4701143.0
