residence,workplace,commuters
Anaheim,Costa Mesa,17435.0
Anaheim,Cypress,45290.0
Anaheim,Fullerton,178010.0
Anaheim,Garden Grove,124598.0
Anaheim,Laguna Niguel,1842.0
Anaheim,Orange,79930.0
Anaheim,Placentia,18090.0
Anaheim,San Juan Capistrano,2255.0
Anaheim,Santa Ana,82843.0
Anaheim,Westminster,34907.0
Anaheim,Yorba Linda,17009.0
Anaheim,Stockton,256.0
Anaheim,Apple Valley,151.0
Anaheim,San Bernardino,960.0
Anaheim,Hesperia,250.0
Anaheim,Victorville,568.0
Anaheim,Chino Hills,1573.0
Anaheim,Highland,92.0
Anaheim,Chino,1494.0
Anaheim,Bakersfield,224.0
Anaheim,Blythe,77.0
Anaheim,Indio,235.0
Anaheim,San Rafael,77.0
Anaheim,Coronado,148.0
Anaheim,Oakland,369.0
Anaheim,Carson,2385.0
Anaheim,Chula Vista,262.0
Anaheim,San Diego,3436.0
Anaheim,Richmond,68.0
Anaheim,Loma Linda,46.0
Anaheim,Montclair,649.0
Anaheim,Ontario,5410.0
Anaheim,Windsor,24.0
Anaheim,El Cajon,158.0
Anaheim,Encinitas,232.0
Anaheim,La Mesa,235.0
Anaheim,Oceanside,474.0
Anaheim,Poway,78.0
Anaheim,San Marcos,90.0
Anaheim,Alameda,77.0
Anaheim,Albany,68.0
Anaheim,Dublin,150.0
Anaheim,Emeryville,77.0
Anaheim,Vista,142.0
Anaheim,Fremont,64.0
Anaheim,Glendora,91.0
Anaheim,Hawthorne,1227.0
Anaheim,Inglewood,1571.0
Anaheim,La Cañada Flintridge,313.0
Anaheim,La Mirada,5804.0
Anaheim,Santa Clarita,306.0
Anaheim,Santa Fe Springs,698.0
Anaheim,Walnut,1532.0
Anaheim,Sierra Madre,60.0
Anaheim,Rolling Hills Estates,60.0
Anaheim,Lynwood,1576.0
Anaheim,Moorpark,88.0
Anaheim,Camarillo,46.0
Anaheim,Oxnard,196.0
Anaheim,Baldwin Park,550.0
Anaheim,Beverly Hills,1044.0
Anaheim,Glendale,854.0
Anaheim,La Puente,257.0
Anaheim,Los Angeles,47776.0
Anaheim,Paramount,1941.0
Anaheim,Temple City,154.0
Anaheim,Rancho Cucamonga,968.0
Anaheim,Campbell,66.0
Anaheim,San Jose,451.0
Anaheim,Barstow,35.0
Anaheim,Colton,173.0
Anaheim,Grand Terrace,106.0
Anaheim,Lincoln,64.0
Anaheim,San Bruno,77.0
Anaheim,Colma,77.0
Anaheim,Millbrae,129.0
Anaheim,San Francisco,742.0
Anaheim,San Mateo,90.0
Anaheim,Lawndale,44.0
Anaheim,Riverside,6644.0
Anaheim,Moreno Valley,1099.0
Anaheim,Corona,3948.0
Anaheim,Lake Elsinore,645.0
Anaheim,Beaumont,88.0
Anaheim,Hemet,299.0
Anaheim,Norco,735.0
Anaheim,Cathedral City,135.0
Anaheim,Palm Desert,405.0
Anaheim,La Habra Heights,69.0
Anaheim,Santa Clara,195.0
Anaheim,Pomona,2182.0
Anaheim,Industry,246.0
Anaheim,Diamond Bar,705.0
Anaheim,Duarte,82.0
Anaheim,Arcadia,518.0
Anaheim,Monterey Park,840.0
Anaheim,West Hollywood,571.0
Anaheim,West Covina,1016.0
Anaheim,La Verne,144.0
Anaheim,Irwindale,475.0
Anaheim,Azusa,198.0
Anaheim,Larkspur,57.0
Anaheim,Novato,68.0
Anaheim,Long Beach,22221.0
Anaheim,Signal Hill,1418.0
Anaheim,Rancho Palos Verdes,82.0
Anaheim,Lancaster,172.0
Anaheim,Alhambra,548.0
Anaheim,Rosemead,561.0
Anaheim,Montebello,898.0
Anaheim,Gardena,1971.0
Anaheim,Lakewood,5711.0
Anaheim,Compton,1190.0
Anaheim,San Gabriel,282.0
Anaheim,Norwalk,4223.0
Anaheim,Downey,3243.0
Anaheim,Whittier,3139.0
Anaheim,Pico Rivera,1223.0
Anaheim,Bell,226.0
Anaheim,Huntington Park,380.0
Anaheim,South Gate,905.0
Anaheim,Culver City,626.0
Anaheim,Chico,62.0
Anaheim,Livermore,46.0
Anaheim,Redondo Beach,970.0
Anaheim,Torrance,3787.0
Anaheim,Visalia,73.0
Anaheim,Menifee,463.0
Anaheim,Daly City,500.0
Anaheim,South San Francisco,126.0
Anaheim,Wildomar,277.0
Anaheim,Banning,1088.0
Anaheim,Brea,35190.0
Anaheim,Irvine,28507.0
Anaheim,La Habra,9765.0
Anaheim,Stanton,26236.0
Anaheim,Thousand Oaks,148.0
Anaheim,Rancho Mirage,287.0
Anaheim,Temecula,1760.0
Anaheim,Palm Springs,754.0
Anaheim,Santa Rosa,100.0
Anaheim,La Palma,6167.0
Anaheim,Los Alamitos,3703.0
Anaheim,Mission Viejo,4852.0
Anaheim,Rancho Santa Margarita,1819.0
Anaheim,San Clemente,2098.0
Anaheim,Seal Beach,1007.0
Anaheim,Villa Park,2204.0
Anaheim,Aliso Viejo,3324.0
Anaheim,Huntington Beach,21314.0
Anaheim,Tustin,10255.0
Anaheim,Buena Park,111842.0
Anaheim,Dana Point,1235.0
Anaheim,Fountain Valley,13712.0
Anaheim,Laguna Beach,1274.0
Anaheim,Laguna Hills,2415.0
Anaheim,Laguna Woods,2221.0
Anaheim,Lake Forest,7837.0
Anaheim,El Cerrito,763.0
Anaheim,Lathrop,148.0
Anaheim,Lodi,46.0
Anaheim,Tracy,46.0
Anaheim,Jurupa Valley,896.0
Anaheim,El Segundo,1410.0
Anaheim,Hawaiian Gardens,1240.0
Anaheim,Hermosa Beach,221.0
Anaheim,Pasadena,2000.0
Anaheim,Newport Beach,27599.0
Anaheim,Santa Monica,2457.0
Anaheim,El Centro,82.0
Anaheim,Sacramento,92.0
Anaheim,Cerritos,16349.0
Anaheim,Covina,270.0
Anaheim,Lomita,35.0
Anaheim,Manhattan Beach,518.0
Anaheim,Maywood,526.0
Anaheim,Monrovia,247.0
Anaheim,San Dimas,657.0
Anaheim,San Luis Obispo,86.0
Anaheim,Santa Cruz,76.0
Anaheim,Upland,1063.0
Anaheim,Yucaipa,202.0
Anaheim,Redlands,1261.0
Anaheim,Carlsbad,234.0
Anaheim,National City,326.0
Anaheim,Santee,149.0
Anaheim,Eastvale,192.0
Anaheim,Big Bear Lake,2665.0
Anaheim,Fontana,589.0
Anaheim,Rialto,122.0
Anaheim,Murrieta,406.0
Anaheim,Atascadero,44.0
Anaheim,South Lake Tahoe,62.0
Anaheim,Fresno,390.0
Anaheim,Folsom,132.0
Anaheim,Monterey,172.0
Anaheim,Artesia,5178.0
Anaheim,Milpitas,74.0
Anaheim,Avalon,129.0
Anaheim,Bellflower,2447.0
Anaheim,Bell Gardens,249.0
Anaheim,Claremont,252.0
Anaheim,Commerce,4566.0
Anaheim,Cudahy,293.0
Anaheim,El Monte,724.0
Anaheim,Goleta,174.0
Anaheim,Santa Barbara,536.0
Anaheim,Alondra Park,237.0
Anaheim,Avocado Heights,79.0
Anaheim,Bermuda Dunes,86.0
Anaheim,Bloomington,80.0
Anaheim,Bonita,68.0
Anaheim,Castro Valley,69.0
Anaheim,Citrus,114.0
Anaheim,Coto de Caza,186.0
Anaheim,Crestline,46.0
Anaheim,East Los Angeles,1458.0
Anaheim,East San Gabriel,66.0
Anaheim,East Whittier,518.0
Anaheim,Fallbrook,73.0
Anaheim,Florence-Graham,468.0
Anaheim,Gold River,66.0
Anaheim,Hacienda Heights,620.0
Anaheim,Harbison Canyon,82.0
Anaheim,Highgrove,144.0
Anaheim,Home Gardens,156.0
Anaheim,Isla Vista,77.0
Anaheim,La Crescenta-Montrose,129.0
Anaheim,Ladera Heights,175.0
Anaheim,Ladera Ranch,225.0
Anaheim,Lennox,218.0
Anaheim,McClellan Park,77.0
Anaheim,March ARB,77.0
Anaheim,Mead Valley,68.0
Anaheim,Midway City,3054.0
Anaheim,Mountain View Acres,100.0
Anaheim,North Tustin,4204.0
Anaheim,Nuevo,66.0
Anaheim,Romoland,76.0
Anaheim,Rossmoor,1400.0
Anaheim,Rowland Heights,855.0
Anaheim,South San Jose Hills,200.0
Anaheim,South Whittier,658.0
Anaheim,Temescal Valley,219.0
Anaheim,Thousand Palms,119.0
Anaheim,Vincent,216.0
Anaheim,Vista Santa Rosa,154.0
Anaheim,West Carson,287.0
Anaheim,Westmont,48.0
Anaheim,West Rancho Dominguez,77.0
Anaheim,West Whittier-Los Nietos,176.0
Anaheim,Willowbrook,46.0
Anaheim,Woodcrest,127.0
Anaheim,Wrightwood,64.0
Costa Mesa,Anaheim,16352.0
Costa Mesa,Cypress,1636.0
Costa Mesa,Fullerton,3881.0
Costa Mesa,Garden Grove,6387.0
Costa Mesa,Laguna Niguel,1992.0
Costa Mesa,Orange,7764.0
Costa Mesa,Placentia,668.0
Costa Mesa,San Juan Capistrano,1268.0
Costa Mesa,Santa Ana,52799.0
Costa Mesa,Westminster,8210.0
Costa Mesa,Yorba Linda,209.0
Costa Mesa,San Bernardino,260.0
Costa Mesa,Chino Hills,57.0
Costa Mesa,Chino,299.0
Costa Mesa,Bakersfield,93.0
Costa Mesa,Fairfield,160.0
Costa Mesa,Escondido,127.0
Costa Mesa,Oakland,530.0
Costa Mesa,Carson,441.0
Costa Mesa,Chula Vista,117.0
Costa Mesa,San Diego,1209.0
Costa Mesa,Ontario,518.0
Costa Mesa,Bishop,89.0
Costa Mesa,El Cajon,176.0
Costa Mesa,Encinitas,75.0
Costa Mesa,Oceanside,376.0
Costa Mesa,San Marcos,57.0
Costa Mesa,Alameda,172.0
Costa Mesa,Vista,190.0
Costa Mesa,Glendora,227.0
Costa Mesa,Hawthorne,48.0
Costa Mesa,Inglewood,57.0
Costa Mesa,La Mirada,440.0
Costa Mesa,Santa Clarita,69.0
Costa Mesa,Santa Fe Springs,75.0
Costa Mesa,Lynwood,197.0
Costa Mesa,Baldwin Park,173.0
Costa Mesa,Beverly Hills,632.0
Costa Mesa,Glendale,168.0
Costa Mesa,Los Angeles,12862.0
Costa Mesa,Paramount,81.0
Costa Mesa,Temple City,93.0
Costa Mesa,Rancho Cucamonga,96.0
Costa Mesa,Corte Madera,75.0
Costa Mesa,Ceres,86.0
Costa Mesa,San Francisco,601.0
Costa Mesa,Riverside,840.0
Costa Mesa,Moreno Valley,162.0
Costa Mesa,Corona,1105.0
Costa Mesa,Beaumont,86.0
Costa Mesa,Hemet,361.0
Costa Mesa,Norco,376.0
Costa Mesa,Cathedral City,81.0
Costa Mesa,Palm Desert,498.0
Costa Mesa,Pomona,230.0
