name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d
Madison,Fort Walton Beach,48.0,307.58149745636,6220776.0,6.827626,19.794013,2912,20922,1,0.0,1,0.020184810263684738,0,75.35418072645264,0,0,3,0,6,0.013391956190120473,18,0.6491314162503886,4,0.00014747214680528744,6,0.015498872780240144,41,0.014380393907214337,6,0.07294536172769431,0,697.136487620206,0,1,5,0,127,0.4716251903113135,35,0.9586296395753287,301,0.11424293314594641,156,2.0559442954160545
Madison,Jacksonville,48.0,168.6718666088198,521051.0,6.827626,1935.492088,2912,949611,1,0.0,1,0.020184810263684738,0,75.35418072645264,0,0,3,0,6,0.013391956190120473,18,0.6491314162503886,4,0.00014747214680528744,6,0.015498872780240144,869,0.3980321916856358,213,3.3771897511539035,1514,14253.316643651488,22,4472,1135,1849,2823,22.814659166279,644,18.307970803334907,4138,59.01815153039318,4672,158.30929090100952
Madison,Coral Terrace,48.0,607.4178074990134,14351743.0,6.827626,8.69985,2912,23142,1,0.0,1,0.020184810263684738,0,75.35418072645264,0,0,3,0,6,0.013391956190120473,18,0.6491314162503886,4,0.00014747214680528744,6,0.015498872780240144,19,0.002564558691210861,14,0.15820396991071498,2,153.88994058258817,0,51,28,6,151,0.3599740591800492,27,0.09813169678358016,209,0.04202797089183798,20,0.3209389038283915
Madison,Riverview,48.0,313.43339764531413,7092485.0,6.827626,119.607244,2912,107396,1,0.0,1,0.020184810263684738,0,75.35418072645264,0,0,3,0,6,0.013391956190120473,18,0.6491314162503886,4,0.00014747214680528744,6,0.015498872780240144,62,0.009025260514793479,23,0.3478219178891056,0,1072.3414932077872,2,31,6,7,136,0.41620948524176754,62,1.4406795860578145,140,0.28531067605803934,167,6.302533887831822
North Port,Bradenton,132.0,60.86758461717218,676690.0,257.393424,37.134572,74793,55698,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,33,0.018154407963371946,16,0.24860401054193673,1,539.3648831992305,1,2,3,1,103,0.2680551191987158,76,0.4874836319154497,124,0.3245728974068196,164,3.981770050874696
North Port,Sarasota,66.0,46.24696374211896,293653.0,257.393424,38.065059,74793,54842,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,33,0.008351121743647355,22,0.15269809038647367,1,385.34229589999734,0,12,4,0,125,0.4558937551123213,24,0.8745343640675177,110,4.099530941979323,228,2.570951105480028
North Port,Punta Gorda,256.0,27.167206913706927,159991.0,257.393424,40.134992,74793,19471,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,53,0.0010060621834963423,4,0.04113578378429581,7,314.80359871564576,0,72,8,37,32,0.44337851836630615,13,0.5784509191550653,155,0.41534375961351455,261,96.44155653231483
North Port,Fruitville,377.0,40.019838176282754,243224.0,257.393424,17.675091,74793,15484,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,21,0.0061767315152995396,1,0.0025411957694768225,0,219.8649409344894,1,2,4,2,32,0.5452044026935575,6,0.14797752982144066,21,0.0968691971655526,49,2.5722920283901476
North Port,Port Charlotte,3067.0,11.324080405119087,5442.0,257.393424,73.763477,74793,60625,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,46,0.010225494264703781,13,0.1511509113830762,12,897.1083795787941,1,69,48,12,109,3.213419763141675,29,0.705147641803731,123,0.28289200152455424,159,97.12291386775479
North Port,Southgate,108.0,41.453782563931256,263772.0,257.393424,4.342372,74793,6287,29,0.006867439220240793,7,0.003322071944753091,0,1890.4198694098866,0,14,1,0,41,0.3622764897016324,21,2.1021877283590054,39,0.08487401272476415,129,214.82842572633692,4,0.0007527023407268494,0,0.0,0,79.88431195704618,0,0,1,0,5,0.0716358163552943,2,0.11481410841267031,0,0.0,1,0.13499538454736426
