name,m,area
Spring Valley Village,4229,3.147973
Stafford,17666,18.158983
Kingsville,25402,35.95675
Colleyville,26057,33.979836
Del Rio,34673,52.935876
Temple,82073,185.196036
Texarkana,36193,81.30488
Victoria,65534,96.829718
Fair Oaks Ranch,9833,31.756444
Balcones Heights,2746,1.695196
Castle Hills,3978,6.395105
Converse,27466,24.460557
Anthony,3671,16.554952
El Paso,678815,669.288012
Eagle Pass,28130,24.399355
Jersey Village,7921,8.75014
Allen,104627,68.378935
Frisco,200509,177.773397
Teague,3384,13.080748
Midlothian,35125,164.616552
Red Oak,14222,39.810044
Windcrest,5865,5.567703
Anson,2294,7.149487
Dalhart,8447,12.385534
Double Oak,3054,6.33523
Crowley,18070,18.931105
Paris,24476,91.141991
South Houston,16153,7.889775
Kirby,8142,5.180242
Leon Valley,11542,8.980868
Live Oak,15781,12.319774
Winnsboro,3455,9.690732
Cleveland,7471,48.688922
Magnolia,2359,7.437351
Gilmer,4843,9.816734
Fairfield,2850,14.137457
Duncanville,40706,29.013994
Farmers Branch,35991,30.771559
Hutchins,5607,23.544603
Irving,256684,173.474996
Lancaster,41275,85.631457
Wilmer,4974,16.434262
Clarendon,1877,7.753614
West University Place,14955,5.190531
Comanche,4211,11.81273
Bishop,3174,6.246863
Roma,11561,15.189493
Abilene,125182,276.270544
Pampa,16867,23.361938
Galena Park,10740,12.44188
Hedwig Village,2370,2.451367
Hunters Creek Village,4385,5.068825
Jacinto City,9613,4.800533
Mount Pleasant,16047,49.080309
Copper Canyon,1731,11.853114
Lumberton,13554,34.731857
Piney Point Village,3128,5.515116
Hollywood Park,3130,3.745057
Childress,5737,21.392741
Greenville,28164,83.622733
Richmond,11627,11.190704
Rosenberg,38282,96.499203
Sugar Land,111026,104.811332
Highland Village,15899,14.326895
Henrietta,3111,13.222405
Brady,5118,23.161372
Orange,19324,55.311507
Gregory,1740,3.898642
Monahans,7836,74.901163
Port Lavaca,11557,26.289764
Sweetwater,10622,28.659964
Whitney,1992,4.818194
Mexia,6893,18.641865
Woodville,2403,8.145903
Uvalde,15217,19.850862
Andrews,13487,18.000443
Burkburnett,10939,29.896376
Lake Jackson,28177,51.126914
Angleton,19429,30.376964
Freeport,10696,39.881009
Clute,10604,13.776
St. Hedwig,2227,76.745601
Mansfield,72602,95.053514
Conroe,89956,186.466341
Highland Park,8864,5.809596
Longview,81638,144.589997
Bonham,10408,25.467532
Atlanta,5433,32.374782
Nederland,18856,15.363541
Port Arthur,56039,196.643519
Port Neches,13692,22.41937
Georgetown,67176,148.493237
Huntsville,45941,110.299299
Grand Saline,3107,5.430017
Wills Point,3747,9.493289
Universal City,19720,14.425593
Earth,901,3.111844
Gonzales,7165,15.748329
Shavano Park,3524,8.522024
Helotes,9030,17.94663
Burleson,47641,73.283823
Cleburne,31352,83.7653
Alvin,27098,62.947476
Kountze,1981,10.303394
Whitehouse,8257,14.233861
Falfurrias,4609,7.410517
Marlin,5462,11.69866
Nocona,3002,7.289618
Rockdale,5323,10.396013
Electra,2292,7.969975
George West,2171,5.01955
Richwood,4781,11.568189
Brownfield,8936,16.866564
Poteet,2795,4.487487
Denison,24479,74.096038
Lamesa,8674,13.228239
Alice,17891,31.060212
Giddings,4969,13.666418
Hitchcock,7301,156.537859
La Marque,18030,35.738002
League City,114392,132.769933
Santa Fe,12735,43.935173
Plainview,20187,35.987805
Lockhart,14379,40.439919
San Marcos,67553,93.920028
Levelland,12652,26.436487
Creedmoor,458,19.723268
Round Rock,119468,97.486526
Alpine,6035,12.448695
Portland,20383,32.349054
San Angelo,99893,155.352512
Llano,3325,13.645932
Garland,246018,147.928102
Wylie,57526,57.325013
