name_o,name_d,total_pop_flow,d,s,area_o,area_d,m_o,m_d,food_point_o,food_poly_o,health_point_o,health_poly_o,industrial_landuse_o,main_road_line_o,natural_landuse_o,residential_landuse_o,retail_landuse_o,commercial_landuse_o,retail_point_o,retail_poly_o,school_point_o,school_poly_o,transport_point_o,transport_poly_o,entertainment_point_o,entertainment_poly_o,food_point_d,food_poly_d,health_point_d,health_poly_d,industrial_landuse_d,main_road_line_d,natural_landuse_d,residential_landuse_d,retail_landuse_d,commercial_landuse_d,retail_point_d,retail_poly_d,school_point_d,school_poly_d,transport_point_d,transport_poly_d,entertainment_point_d,entertainment_poly_d
Spring Valley Village,Jersey Village,50.0,12.91032444308876,2352277.0,3.147973,8.75014,4229,7921,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,6,0.0018586129224791453,0,0.0,3,133.34362988860144,0,19,2,1,14,0.28172933014367213,4,0.26465351985116853,15,0.1510290282748351,45,0.9007067407574617
Spring Valley Village,Hedwig Village,8719.0,1.8351278351978995,0.0,3.147973,2.451367,4229,2370,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,4,0.00041526406417644203,2,0.0,0,43.63114566190442,0,1,2,2,15,0.1638131623629262,6,0.2965586001104195,3,0.016201978360876584,27,0.056070860511280345
Spring Valley Village,Sugar Land,150.0,25.23849007690357,2447647.0,3.147973,104.811332,4229,111026,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,75,0.013460765507285978,49,0.3855579280436125,8,1212.0318439681348,0,37,25,6,233,2.7186457068833434,49,2.737477530882699,212,3.155661219305869,286,11.010987149300849
Spring Valley Village,Tomball,50.0,35.73172841290252,2997956.0,3.147973,33.68799,4229,12341,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,15,0.000799645930794808,1,0.0,0,233.93041429152277,2,4,10,1,32,0.6751369343145214,13,0.9261715490162679,20,0.13992115402306385,34,0.383410394313713
Spring Valley Village,Tyler,50.0,281.67814800332616,8148717.0,3.147973,148.806389,4229,105995,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,142,0.025390947615782495,49,1.0652344954224056,5,1355.7038574710969,1,57,11,9,250,1.6532112869592368,192,3.6794169937741756,411,5.1031101303183855,366,5.416993790325615
Spring Valley Village,Euless,100.0,371.6244655233463,13484363.0,3.147973,41.755328,4229,61032,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,22,0.004540284309964876,1,0.0,3,524.1171604797786,0,104,25,18,105,1.2573690390009968,50,0.8245246520376602,96,10.24390996415938,149,3.679235837107103
Spring Valley Village,Harlingen,100.0,454.3839414857721,17207679.0,3.147973,103.926835,4229,71829,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,78,0.030876211821233044,31,0.550438474269776,3,870.9528482152627,1,115,15,11,263,2.0796692755656174,117,3.303328129829238,198,7.6371343550126936,259,4.931816034279296
Spring Valley Village,Bunker Hill Village,50.0,3.857920459333299,9883.0,3.147973,3.734401,4229,3822,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,0,0.0,0,0.0,0,51.6517142890121,0,3,0,0,0,0.0,4,0.1039025472329177,1,0.0034621296193730385,9,0.0060713086056450455
Spring Valley Village,Corpus Christi,50.0,278.7422593250228,7805577.0,3.147973,420.016429,4229,317863,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,229,0.06159696409547271,92,1.439114476745275,46,2852.1238428222086,1,98,39,23,428,2.428016116298988,239,6.974736881125201,2107,24.825414527966064,1230,600.5335860448232
Spring Valley Village,Austin,50.0,223.7830586546026,5399072.0,3.147973,828.631437,4229,961855,5,0.0,3,0.00046318102428003594,0,41.91540106802012,0,4,3,0,15,0.06761698070585233,8,0.023582137799272884,4,0.012432535572757053,17,0.0958211796341459,1183,0.1607969377680074,0,0.0,54,8438.283002549633,5,844,208,167,1987,13.016731406780828,610,13.405283522472518,0,0.0,0,0.0
