name,m,area
Clarkston,7161,5.324542
Vancouver,190915,126.252845
Othello,8549,10.361898
Kennewick,83921,72.174006
Richland,60560,101.595082
Walla Walla,34060,36.222999
West Richland,16295,57.278126
Tumwater,25350,45.325069
Pasco,77108,87.951716
Centralia,18183,19.737748
Chehalis,7439,15.040734
Everett,110629,85.96442
Lacey,53526,44.82442
Olympia,55605,47.191176
Mill Creek,20926,12.026761
Monroe,19699,15.792003
Mountlake Terrace,21286,10.504511
Mukilteo,21538,16.204735
Seattle,737015,217.234359
Woodinville,13069,14.541745
Bainbridge Island,24825,71.520328
Poulsbo,11975,12.269807
Mercer Island,25748,16.530954
Milton,8697,7.199242
Newcastle,13017,11.522379
Normandy Park,6771,6.437429
Pullman,32901,28.305409
North Bend,7461,11.26123
Pacific,7235,6.267089
Yarrow Point,1134,0.948535
Burien,52066,26.00061
Lake Forest Park,13630,9.108864
Tukwila,21798,23.788091
Lynden,15749,14.07535
Chewelah,2470,7.64927
Colville,4917,7.987535
Spokane Valley,102976,97.693319
Airway Heights,10757,15.567108
Deer Park,4383,17.842089
East Wenatchee,14158,9.813514
Rock Island,1279,2.919412
Bonney Lake,22487,21.284938
Buckley,5114,9.997404
Anacortes,17637,30.300083
Mount Vernon,35219,31.850641
Edgewood,12327,21.716786
Gig Harbor,12029,15.287037
Lakewood,63612,44.184014
Tacoma,219346,128.759844
University Place,34866,21.599367
Fircrest,7156,4.1011
Orting,9041,7.006867
Steilacoom,6727,5.208881
Long Beach,1688,3.572792
Spokane,228989,178.086951
Davenport,1703,4.31727
Auburn,87256,76.604169
Bellevue,151854,86.663751
Covington,20777,15.363374
Enumclaw,12543,13.395335
Federal Way,101030,57.744826
Issaquah,40051,31.415493
Kenmore,23914,15.924537
Redmond,73256,42.908263
Renton,106785,60.890449
Sammamish,67455,52.906369
SeaTac,31454,26.066425
Shoreline,58608,30.13385
Snoqualmie,14121,18.58755
Port Angeles,19960,27.741229
Aberdeen,17013,28.159834
Algona,3290,3.345728
Kent,136588,87.626858
Maple Valley,28013,15.551308
Medina,2915,3.717602
Cheney,13255,11.24613
Millwood,1881,1.802927
Bellingham,91482,72.884726
Puyallup,42973,36.610495
Arlington,19868,25.417391
Shelton,10371,15.062942
Toppenish,8854,5.530691
Snohomish,10126,9.120182
Sultan,5146,8.478434
Port Townsend,10148,17.980766
Des Moines,32888,16.605956
Kirkland,92175,46.117521
Sumner,10621,19.507
Bothell,48161,35.314926
Edmonds,42853,23.093351
Lake Stevens,35630,23.740504
Lynnwood,38568,20.400256
Marysville,70714,53.751151
Woodway,1318,3.025175
Burlington,9152,11.087338
Brier,6560,5.688685
Bremerton,43505,73.632931
Port Orchard,15587,24.977826
Union Gap,6568,14.443742
Yakima,96968,72.015669
Grandview,10907,16.678027
Selah,8153,11.879313
Kelso,12720,21.070159
Longview,37818,38.327354
Washougal,17039,15.409889
Battle Ground,20743,22.13119
Camas,26065,36.453237
Oak Harbor,24622,24.997234
Alderton,3274,14.817407
Artondale,13641,34.643182
Bangor Base,5482,28.760954
Bethel,4073,8.187704
Bothell West,22015,10.741874
Boulevard Park,4094,3.042222
Browns Point,1263,1.052624
Brush Prairie,2749,19.899109
Bryn Mawr-Skyway,17397,7.392125
Bunk Foss,3680,10.052669
Camano,17356,102.963786
Central Park,2841,9.112224
Chain Lake,4806,28.246478
Clearview,3648,12.013902
Clover Creek,7161,16.759075
Cottage Lake,22857,58.886493
Country Homes,6251,4.324831
Duluth,1718,15.468691
Eastmont,24059,13.245575
East Port Orchard,5262,4.000726
East Renton Highlands,11937,28.825597
Elk Plain,14534,21.703536
Enetai,2497,2.710652
Esperance,4007,1.875133
Fairchild AFB,2695,17.154489
Felida,9526,7.527954
Finley,6152,29.939668
Five Corners,20973,15.084751
Fobes Hill,2628,12.053782
Fords Prairie,2234,9.651684
Fort Lewis,14052,26.649221
Fox Island,3921,13.451582
Graham,32658,110.543976
Hazel Dell,23569,12.523242
High Bridge,3140,18.06147
Hobart,6767,48.697563
Hockinson,6105,35.695129
Indianola,3664,13.611392
Kapowsin,372,10.67056
Kayak Point,1883,14.177751
Ketron Island,20,0.893034
Key Center,3863,37.880619
Lake Cassidy,3757,27.429267
Lake Holm,3430,21.653595
Lakeland North,13663,8.40599
Lakeland South,13169,12.694412
Lake Morton-Berrydale,10474,31.917818
Lake Shore,7056,4.234061
Lake Stickney,15413,5.150991
Lake Tapps,12962,31.741187
Larch Way,4993,2.88238
Lewisville,1860,14.024038
McChord AFB,3188,15.219099
Machias,1264,6.412974
Maltby,11277,50.020475
Manchester,5714,7.571859
Maple Heights-Lake Desire,3873,10.536485
Maplewood,5469,21.461663
Marrowstone,995,16.317484
Martha Lake,21660,11.791042
Meadowdale,3148,2.762084
Meadow Glade,2758,9.422663
Midland,9962,7.866825
Mill Creek East,24912,11.5236
Minnehaha,11871,5.723841
Mirrormont,3858,26.937143
Monroe North,1796,6.149309
Moses Lake North,4050,14.819523
Mount Vista,10051,13.542723
Navy Yard City,2759,1.590296
Nisqually Indian Community,668,7.904915
North Fort Lewis,5978,15.268591
North Lynnwood,22802,8.09989
Orchards,27729,13.86379
Otis Orchards-East Farms,6299,20.800369
Parkland,38623,22.385665
Parkwood,7635,6.761454
Picnic Point,9768,7.876299
Point Roberts,1191,12.652764
Port Angeles East,3159,9.77726
Port Gamble Tribal Community,1010,10.954169
Prairie Heights,4561,9.687026
Prairie Ridge,12288,10.930094
Rosedale,4357,11.75517
Salmon Creek,21293,16.43859
Shadow Lake,2396,13.452461
Silverdale,20733,32.719917
Silver Firs,22174,17.753676
Sisco Heights,3140,36.194625
Skamokawa Valley,487,73.029449
Skokomish,615,17.272918
South Hill,64708,48.135422
Southworth,2362,8.741643
Spanaway,35476,22.648154
Summit,8270,13.173542
Summit View,9758,8.377932
Suquamish,4266,17.696537
Tanglewilde,6265,3.762119
Terrace Heights,9244,27.233947
Three Lakes,3941,30.220459
Town and Country,5068,3.109206
Tracyton,5967,4.964894
Union Hill-Novelty Hill,22683,62.791441
Vashon,11055,95.660193
Waller,8189,20.591973
Wauna,4421,16.313387
West Clarkston-Highland,5488,7.274418
Whidbey Island Station,1671,17.00899
White Center,16631,5.884288
Wollochet,6769,15.109318
Woods Creek,6017,36.347083
